
#	V1.1 ⊖ Dings

00A9 FE0E; text style;   # COPYRIGHT SIGN
1F39E FE0E; text style;   # FILM FRAMES
1F39E FE0F; emoji style;  # FILM FRAMES
1F39F FE0E; text style;   # ADMISSION TICKETS
1F39F FE0F; emoji style;  # ADMISSION TICKETS
1F3CB FE0E; text style;   # WEIGHT LIFTER
1F3CB FE0F; emoji style;  # WEIGHT LIFTER
1F3CC FE0E; text style;   # GOLFER
1F3CC FE0F; emoji style;  # GOLFER
1F3CD FE0E; text style;   # RACING MOTORCYCLE
1F3CD FE0F; emoji style;  # RACING MOTORCYCLE
1F3CE FE0E; text style;   # RACING CAR
1F3CE FE0F; emoji style;  # RACING CAR
1F3D4 FE0E; text style;   # SNOW CAPPED MOUNTAIN
1F3D4 FE0F; emoji style;  # SNOW CAPPED MOUNTAIN
1F3D5 FE0E; text style;   # CAMPING
1F3D5 FE0F; emoji style;  # CAMPING
1F3D6 FE0E; text style;   # BEACH WITH UMBRELLA
1F3D6 FE0F; emoji style;  # BEACH WITH UMBRELLA
1F3D7 FE0E; text style;   # BUILDING CONSTRUCTION
1F3D7 FE0F; emoji style;  # BUILDING CONSTRUCTION
1F3D8 FE0E; text style;   # HOUSE BUILDINGS
1F3D8 FE0F; emoji style;  # HOUSE BUILDINGS
1F3D9 FE0E; text style;   # CITYSCAPE
1F3D9 FE0F; emoji style;  # CITYSCAPE
1F3DA FE0E; text style;   # DERELICT HOUSE BUILDING
1F3DA FE0F; emoji style;  # DERELICT HOUSE BUILDING
1F3DB FE0E; text style;   # CLASSICAL BUILDING
1F3DB FE0F; emoji style;  # CLASSICAL BUILDING
1F3DC FE0E; text style;   # DESERT
1F3DC FE0F; emoji style;  # DESERT
1F3DD FE0E; text style;   # DESERT ISLAND
1F3DD FE0F; emoji style;  # DESERT ISLAND
1F3DE FE0E; text style;   # NATIONAL PARK
1F3DE FE0F; emoji style;  # NATIONAL PARK
1F3DF FE0E; text style;   # STADIUM
1F3DF FE0F; emoji style;  # STADIUM
1F3F3 FE0E; text style;   # WAVING WHITE FLAG
1F3F3 FE0F; emoji style;  # WAVING WHITE FLAG
1F3F5 FE0E; text style;   # ROSETTE
1F3F5 FE0F; emoji style;  # ROSETTE
1F3F7 FE0E; text style;   # LABEL
1F3F7 FE0F; emoji style;  # LABEL
1F43F FE0E; text style;   # CHIPMUNK
1F43F FE0F; emoji style;  # CHIPMUNK
1F441 FE0E; text style;   # EYE
1F441 FE0F; emoji style;  # EYE
1F4FD FE0E; text style;   # FILM PROJECTOR
1F4FD FE0F; emoji style;  # FILM PROJECTOR
1F549 FE0E; text style;   # OM SYMBOL
1F549 FE0F; emoji style;  # OM SYMBOL
1F54A FE0E; text style;   # DOVE OF PEACE
1F54A FE0F; emoji style;  # DOVE OF PEACE
1F56F FE0E; text style;   # CANDLE
1F56F FE0F; emoji style;  # CANDLE
1F570 FE0E; text style;   # MANTELPIECE CLOCK
1F570 FE0F; emoji style;  # MANTELPIECE CLOCK
1F573 FE0E; text style;   # HOLE
1F573 FE0F; emoji style;  # HOLE
1F574 FE0E; text style;   # MAN IN BUSINESS SUIT LEVITATING
1F574 FE0F; emoji style;  # MAN IN BUSINESS SUIT LEVITATING
1F575 FE0E; text style;   # SLEUTH OR SPY
1F575 FE0F; emoji style;  # SLEUTH OR SPY
1F576 FE0E; text style;   # DARK SUNGLASSES
1F576 FE0F; emoji style;  # DARK SUNGLASSES
1F577 FE0E; text style;   # SPIDER
1F577 FE0F; emoji style;  # SPIDER
1F578 FE0E; text style;   # SPIDER WEB
1F578 FE0F; emoji style;  # SPIDER WEB
1F579 FE0E; text style;   # JOYSTICK
1F579 FE0F; emoji style;  # JOYSTICK
1F587 FE0E; text style;   # LINKED PAPERCLIPS
1F587 FE0F; emoji style;  # LINKED PAPERCLIPS
1F58A FE0E; text style;   # LOWER LEFT BALLPOINT PEN
1F58A FE0F; emoji style;  # LOWER LEFT BALLPOINT PEN
1F58B FE0E; text style;   # LOWER LEFT FOUNTAIN PEN
1F58B FE0F; emoji style;  # LOWER LEFT FOUNTAIN PEN
1F58C FE0E; text style;   # LOWER LEFT PAINTBRUSH
1F58C FE0F; emoji style;  # LOWER LEFT PAINTBRUSH
1F58D FE0E; text style;   # LOWER LEFT CRAYON
1F58D FE0F; emoji style;  # LOWER LEFT CRAYON
1F590 FE0E; text style;   # RAISED HAND WITH FINGERS SPLAYED
1F590 FE0F; emoji style;  # RAISED HAND WITH FINGERS SPLAYED
1F5A5 FE0E; text style;   # DESKTOP COMPUTER
1F5A5 FE0F; emoji style;  # DESKTOP COMPUTER
1F5A8 FE0E; text style;   # PRINTER
1F5A8 FE0F; emoji style;  # PRINTER
1F5B1 FE0E; text style;   # THREE BUTTON MOUSE
1F5B1 FE0F; emoji style;  # THREE BUTTON MOUSE
1F5B2 FE0E; text style;   # TRACKBALL
1F5B2 FE0F; emoji style;  # TRACKBALL
1F5BC FE0E; text style;   # FRAME WITH PICTURE
1F5BC FE0F; emoji style;  # FRAME WITH PICTURE
1F5C2 FE0E; text style;   # CARD INDEX DIVIDERS
1F5C2 FE0F; emoji style;  # CARD INDEX DIVIDERS
1F5C3 FE0E; text style;   # CARD FILE BOX
1F5C3 FE0F; emoji style;  # CARD FILE BOX
1F5C4 FE0E; text style;   # FILE CABINET
1F5C4 FE0F; emoji style;  # FILE CABINET
1F5D1 FE0E; text style;   # WASTEBASKET
1F5D1 FE0F; emoji style;  # WASTEBASKET
1F5D2 FE0E; text style;   # SPIRAL NOTE PAD
1F5D2 FE0F; emoji style;  # SPIRAL NOTE PAD
1F5D3 FE0E; text style;   # SPIRAL CALENDAR PAD
1F5D3 FE0F; emoji style;  # SPIRAL CALENDAR PAD
1F5DC FE0E; text style;   # COMPRESSION
1F5DC FE0F; emoji style;  # COMPRESSION
1F5DD FE0E; text style;   # OLD KEY
1F5DD FE0F; emoji style;  # OLD KEY
1F5DE FE0E; text style;   # ROLLED-UP NEWSPAPER
1F5DE FE0F; emoji style;  # ROLLED-UP NEWSPAPER
1F5E1 FE0E; text style;   # DAGGER KNIFE
1F5E1 FE0F; emoji style;  # DAGGER KNIFE
1F5E3 FE0E; text style;   # SPEAKING HEAD IN SILHOUETTE
1F5E3 FE0F; emoji style;  # SPEAKING HEAD IN SILHOUETTE
1F5EF FE0E; text style;   # RIGHT ANGER BUBBLE
1F5EF FE0F; emoji style;  # RIGHT ANGER BUBBLE
1F5F3 FE0E; text style;   # BALLOT BOX WITH BALLOT
1F5F3 FE0F; emoji style;  # BALLOT BOX WITH BALLOT
1F5FA FE0E; text style;   # WORLD MAP
1F5FA FE0F; emoji style;  # WORLD MAP
1F6CB FE0E; text style;   # COUCH AND LAMP
1F6CB FE0F; emoji style;  # COUCH AND LAMP
1F6CD FE0E; text style;   # SHOPPING BAGS
1F6CD FE0F; emoji style;  # SHOPPING BAGS
1F6CE FE0E; text style;   # BELLHOP BELL
1F6CE FE0F; emoji style;  # BELLHOP BELL
1F6CF FE0E; text style;   # BED
1F6CF FE0F; emoji style;  # BED
1F6E0 FE0E; text style;   # HAMMER AND WRENCH
1F6E0 FE0F; emoji style;  # HAMMER AND WRENCH
1F6E1 FE0E; text style;   # SHIELD
1F6E1 FE0F; emoji style;  # SHIELD
1F6E2 FE0E; text style;   # OIL DRUM
1F6E2 FE0F; emoji style;  # OIL DRUM
1F6E3 FE0E; text style;   # MOTORWAY
1F6E3 FE0F; emoji style;  # MOTORWAY
1F6E4 FE0E; text style;   # RAILWAY TRACK
1F6E4 FE0F; emoji style;  # RAILWAY TRACK
1F6E5 FE0E; text style;   # MOTOR BOAT
1F6E5 FE0F; emoji style;  # MOTOR BOAT
1F6E9 FE0E; text style;   # SMALL AIRPLANE
1F6E9 FE0F; emoji style;  # SMALL AIRPLANE
1F6F0 FE0E; text style;   # SATELLITE
1F6F0 FE0F; emoji style;  # SATELLITE
1F6F3 FE0E; text style;   # PASSENGER SHIP
1F6F3 FE0F; emoji style;  # PASSENGER SHIP
