Here is a test file you can use (from http://unicode.org/cldr/utility/list-unicodeset.jsp?a=[^[:c:][:z:][:di:]]&abb=on&ucd=on)

Every codepoint within one of these ranges (in field 0) should succeed, and every codepoint outside of these ranges should fail. Even testing that the first of each range works, and the last+1 fails would be a good test.

0021..007E ; TILDE
0F00..0F47 ; TIBETAN LETTER JA
0F49..0F6C ; TIBETAN LETTER RRA
0F71..0F97 ; TIBETAN SUBJOINED LETTER JA
0F99..0FBC ; TIBETAN SUBJOINED LETTER FIXED-FORM RA
0FBE..0FCC ; TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCE..0FDA ; TIBETAN MARK TRAILING MCHAN RTAGS
1000..10C5 ; GEORGIAN CAPITAL LETTER HOE
10C7 ; GEORGIAN CAPITAL LETTER YN
10CD ; GEORGIAN CAPITAL LETTER AEN
10D0..115E ; HANGUL CHOSEONG TIKEUT-RIEUL
1161..1248 ; ETHIOPIC SYLLABLE QWA
124A..124D ; ETHIOPIC SYLLABLE QWE
1250..1256 ; ETHIOPIC SYLLABLE QHO
1258 ; ETHIOPIC SYLLABLE QHWA
125A..125D ; ETHIOPIC SYLLABLE QHWE
1260..1288 ; ETHIOPIC SYLLABLE XWA
128A..128D ; ETHIOPIC SYLLABLE XWE
1290..12B0 ; ETHIOPIC SYLLABLE KWA
12B2..12B5 ; ETHIOPIC SYLLABLE KWE
12B8..12BE ; ETHIOPIC SYLLABLE KXO
12C0 ; ETHIOPIC SYLLABLE KXWA
12C2..12C5 ; ETHIOPIC SYLLABLE KXWE
12C8..12D6 ; ETHIOPIC SYLLABLE PHARYNGEAL O
12D8..1310 ; ETHIOPIC SYLLABLE GWA
1312..1315 ; ETHIOPIC SYLLABLE GWE
1318..135A ; ETHIOPIC SYLLABLE FYA
135D..137C ; ETHIOPIC NUMBER TEN THOUSAND
1380..1399 ; ETHIOPIC TONAL MARK KURT
13A0..13F5 ; CHEROKEE LETTER MV
13F8..13FD ; CHEROKEE SMALL LETTER MV
1400..167F ; CANADIAN SYLLABICS BLACKFOOT W
1681..169C ; OGHAM REVERSED FEATHER MARK
16A0..16F8 ; RUNIC LETTER FRANKS CASKET AESC
1700..170C ; TAGALOG LETTER YA
170E..1714 ; TAGALOG SIGN VIRAMA
1720..1736 ; PHILIPPINE DOUBLE PUNCTUATION
1740..1753 ; BUHID VOWEL SIGN U
1760..176C ; TAGBANWA LETTER YA
176E..1770 ; TAGBANWA LETTER SA
1772 ; TAGBANWA VOWEL SIGN I
1773 ; TAGBANWA VOWEL SIGN U
1780..17B3 ; KHMER INDEPENDENT VOWEL QAU
17B6..17DD ; KHMER SIGN ATTHACAN
17E0..17E9 ; KHMER DIGIT NINE
17F0..17F9 ; KHMER SYMBOL LEK ATTAK PRAM-BUON
1800..180A ; MONGOLIAN NIRUGU
1810..1819 ; MONGOLIAN DIGIT NINE
1820..1877 ; MONGOLIAN LETTER MANCHU ZHA
1880..18AA ; MONGOLIAN LETTER MANCHU ALI GALI LHA
18B0..18F5 ; CANADIAN SYLLABICS CARRIER DENTAL S
1900..191E ; LIMBU LETTER TRA
1920..192B ; LIMBU SUBJOINED LETTER WA
1930..193B ; LIMBU SIGN SA-I
1940 ; LIMBU SIGN LOO
1944..196D ; TAI LE LETTER AI
1970..1974 ; TAI LE LETTER TONE-6
1980..19AB ; NEW TAI LUE LETTER LOW SUA
19B0..19C9 ; NEW TAI LUE TONE MARK-2
19D0..19DA ; NEW TAI LUE THAM DIGIT ONE
19DE..1A1B ; BUGINESE VOWEL SIGN AE
1A1E..1A5E ; TAI THAM CONSONANT SIGN SA
1A60..1A7C ; TAI THAM SIGN KHUEN-LUE KARAN
1A7F..1A89 ; TAI THAM HORA DIGIT NINE
1A90..1A99 ; TAI THAM THAM DIGIT NINE
1AA0..1AAD ; TAI THAM SIGN CAANG
1AB0..1ABE ; COMBINING PARENTHESES OVERLAY
1B00..1B4B ; BALINESE LETTER ASYURA SASAK
1B50..1B7C ; BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING
1B80..1BF3 ; BATAK PANONGONAN
1BFC..1C37 ; LEPCHA SIGN NUKTA
1C3B..1C49 ; LEPCHA DIGIT NINE
1C4D..1C7F ; OL CHIKI PUNCTUATION DOUBLE MUCAAD
1CC0..1CC7 ; SUNDANESE PUNCTUATION BINDU BA SATANGA
1CD0..1CF6 ; VEDIC SIGN UPADHMANIYA
1CF8 ; VEDIC TONE RING ABOVE
1CF9 ; VEDIC TONE DOUBLE RING ABOVE
1D00..1DF5 ; COMBINING UP TACK ABOVE
1DFC..1F15 ; GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
1F18..1F1D ; GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F20..1F45 ; GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
1F48..1F4D ; GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F50..1F57 ; GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F59 ; GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5B ; GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5D ; GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5F..1F7D ; GREEK SMALL LETTER OMEGA WITH OXIA
1F80..1FB4 ; GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB6..1FC4 ; GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC6..1FD3 ; GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FD6..1FDB ; GREEK CAPITAL LETTER IOTA WITH OXIA
1FDD..1FEF ; GREEK VARIA
1FF2..1FF4 ; GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
1FF6..1FFE ; GREEK DASIA
2010..2027 ; HYPHENATION POINT
2030..205E ; VERTICAL FOUR DOTS
2070 ; SUPERSCRIPT ZERO
2071 ; SUPERSCRIPT LATIN SMALL LETTER I
2074..208E ; SUBSCRIPT RIGHT PARENTHESIS
2090..209C ; LATIN SUBSCRIPT SMALL LETTER T
20A0..20BE ; LARI SIGN
20D0..20F0 ; COMBINING ASTERISK ABOVE
2100..218B ; TURNED DIGIT THREE
2190..23FA ; BLACK CIRCLE FOR RECORD
2400..2426 ; SYMBOL FOR SUBSTITUTE FORM TWO
2440..244A ; OCR DOUBLE BACKSLASH
2460..2B73 ; DOWNWARDS TRIANGLE-HEADED ARROW TO BAR
2B76..2B95 ; RIGHTWARDS BLACK ARROW
2B98..2BB9 ; UP ARROWHEAD IN A RECTANGLE BOX
2BBD..2BC8 ; BLACK MEDIUM RIGHT-POINTING TRIANGLE CENTRED
2BCA..2BD1 ; UNCERTAINTY SIGN
2BEC..2BEF ; DOWNWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS
2C00..2C2E ; GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
2C30..2C5E ; GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C60..2CF3 ; COPTIC SMALL LETTER BOHAIRIC KHEI
2CF9..2D25 ; GEORGIAN SMALL LETTER HOE
2D27 ; GEORGIAN SMALL LETTER YN
2D2D ; GEORGIAN SMALL LETTER AEN
2D30..2D67 ; TIFINAGH LETTER YO
2D6F ; TIFINAGH MODIFIER LETTER LABIALIZATION MARK
2D70 ; TIFINAGH SEPARATOR MARK
2D7F..2D96 ; ETHIOPIC SYLLABLE GGWE
2DA0..2DA6 ; ETHIOPIC SYLLABLE SSO
2DA8..2DAE ; ETHIOPIC SYLLABLE CCO
2DB0..2DB6 ; ETHIOPIC SYLLABLE ZZO
2DB8..2DBE ; ETHIOPIC SYLLABLE CCHO
2DC0..2DC6 ; ETHIOPIC SYLLABLE QYO
2DC8..2DCE ; ETHIOPIC SYLLABLE KYO
2DD0..2DD6 ; ETHIOPIC SYLLABLE XYO
2DD8..2DDE ; ETHIOPIC SYLLABLE GYO
2DE0..2E42 ; DOUBLE LOW-REVERSED-9 QUOTATION MARK
2E80..2E99 ; CJK RADICAL RAP
2E9B..2EF3 ; CJK RADICAL C-SIMPLIFIED TURTLE
2F00..2FD5 ; KANGXI RADICAL FLUTE
2FF0..2FFB ; IDEOGRAPHIC DESCRIPTION CHARACTER OVERLAID
3001..303F ; IDEOGRAPHIC HALF FILL SPACE
3041..3096 ; HIRAGANA LETTER SMALL KE
3099..30FF ; KATAKANA DIGRAPH KOTO
3105..312D ; BOPOMOFO LETTER IH
3131..3163 ; HANGUL LETTER I
3165..318E ; HANGUL LETTER ARAEAE
3190..31BA ; BOPOMOFO LETTER ZY
31C0..31E3 ; CJK STROKE Q
31F0..321E ; PARENTHESIZED KOREAN CHARACTER O HU
3220..32FE ; CIRCLED KATAKANA WO
3300..4DB5 ; CJK UNIFIED IDEOGRAPH-4DB5
4DC0..9FD5 ; CJK UNIFIED IDEOGRAPH-9FD5
A000..A48C ; YI SYLLABLE YYR
A490..A4C6 ; YI RADICAL KE
A4D0..A62B ; VAI SYLLABLE NDOLE DO
A640..A6F7 ; BAMUM QUESTION MARK
A700..A7AD ; LATIN CAPITAL LETTER L WITH BELT
A7B0..A7B7 ; LATIN SMALL LETTER OMEGA
A7F7..A82B ; SYLOTI NAGRI POETRY MARK-4
A830..A839 ; NORTH INDIC QUANTITY MARK
A840..A877 ; PHAGS-PA MARK DOUBLE SHAD
A880..A8C4 ; SAURASHTRA SIGN VIRAMA
A8CE..A8D9 ; SAURASHTRA DIGIT NINE
A8E0..A8FD ; DEVANAGARI JAIN OM
A900..A953 ; REJANG VIRAMA
A95F..A97C ; HANGUL CHOSEONG SSANGYEORINHIEUH
A980..A9CD ; JAVANESE TURNED PADA PISELEH
A9CF..A9D9 ; JAVANESE DIGIT NINE
A9DE..A9FE ; MYANMAR LETTER TAI LAING BHA
AA00..AA36 ; CHAM CONSONANT SIGN WA
AA40..AA4D ; CHAM CONSONANT SIGN FINAL H
AA50..AA59 ; CHAM DIGIT NINE
AA5C..AAC2 ; TAI VIET TONE MAI SONG
AADB..AAF6 ; MEETEI MAYEK VIRAMA
AB01..AB06 ; ETHIOPIC SYLLABLE TTHO
AB09..AB0E ; ETHIOPIC SYLLABLE DDHO
AB11..AB16 ; ETHIOPIC SYLLABLE DZO
AB20..AB26 ; ETHIOPIC SYLLABLE CCHHO
AB28..AB2E ; ETHIOPIC SYLLABLE BBO
AB30..AB65 ; GREEK LETTER SMALL CAPITAL OMEGA
AB70..ABED ; MEETEI MAYEK APUN IYEK
ABF0..ABF9 ; MEETEI MAYEK DIGIT NINE
AC00..D7A3 ; HANGUL SYLLABLE HIH
D7B0..D7C6 ; HANGUL JUNGSEONG ARAEA-E
D7CB..D7FB ; HANGUL JONGSEONG PHIEUPH-THIEUTH
F900..FA6D ; CJK COMPATIBILITY IDEOGRAPH-FA6D
FA70..FAD9 ; CJK COMPATIBILITY IDEOGRAPH-FAD9
FB00..FB06 ; LATIN SMALL LIGATURE ST
FB13..FB17 ; ARMENIAN SMALL LIGATURE MEN XEH
FB1D..FB36 ; HEBREW LETTER ZAYIN WITH DAGESH
FB38..FB3C ; HEBREW LETTER LAMED WITH DAGESH
FB3E ; HEBREW LETTER MEM WITH DAGESH
FB40 ; HEBREW LETTER NUN WITH DAGESH
FB41 ; HEBREW LETTER SAMEKH WITH DAGESH
FB43 ; HEBREW LETTER FINAL PE WITH DAGESH
FB44 ; HEBREW LETTER PE WITH DAGESH
FB46..FBC1 ; ARABIC SYMBOL SMALL TAH BELOW
FBD3..FD3F ; ORNATE RIGHT PARENTHESIS
FD50..FD8F ; ARABIC LIGATURE MEEM WITH KHAH WITH MEEM INITIAL FORM
FD92..FDC7 ; ARABIC LIGATURE NOON WITH JEEM WITH YEH FINAL FORM
FDF0..FDFD ; ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM
FE10..FE19 ; PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
FE20..FE52 ; SMALL FULL STOP
FE54..FE66 ; SMALL EQUALS SIGN
FE68..FE6B ; SMALL COMMERCIAL AT
FE70..FE74 ; ARABIC KASRATAN ISOLATED FORM
FE76..FEFC ; ARABIC LIGATURE LAM WITH ALEF FINAL FORM
FF01..FF9F ; HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
FFA1..FFBE ; HALFWIDTH HANGUL LETTER HIEUH
FFC2..FFC7 ; HALFWIDTH HANGUL LETTER E
FFCA..FFCF ; HALFWIDTH HANGUL LETTER OE
FFD2..FFD7 ; HALFWIDTH HANGUL LETTER YU
FFDA..FFDC ; HALFWIDTH HANGUL LETTER I
FFE0..FFE6 ; FULLWIDTH WON SIGN
FFE8..FFEE ; HALFWIDTH WHITE CIRCLE
FFFC ; OBJECT REPLACEMENT CHARACTER
FFFD ; REPLACEMENT CHARACTER
10000..1000B ; LINEAR B SYLLABLE B046 JE
1000D..10026 ; LINEAR B SYLLABLE B032 QO
10028..1003A ; LINEAR B SYLLABLE B042 WO
1003C ; LINEAR B SYLLABLE B017 ZA
1003D ; LINEAR B SYLLABLE B074 ZE
1003F..1004D ; LINEAR B SYLLABLE B091 TWO
10050..1005D ; LINEAR B SYMBOL B089
10080..100FA ; LINEAR B IDEOGRAM VESSEL B305
10100..10102 ; AEGEAN CHECK MARK
10107..10133 ; AEGEAN NUMBER NINETY THOUSAND
10137..1018C ; GREEK SINUSOID SIGN
10190..1019B ; ROMAN CENTURIAL SIGN
101A0 ; GREEK SYMBOL TAU RHO
101D0..101FD ; PHAISTOS DISC SIGN COMBINING OBLIQUE STROKE
10280..1029C ; LYCIAN LETTER X
102A0..102D0 ; CARIAN LETTER UUU3
102E0..102FB ; COPTIC EPACT NUMBER NINE HUNDRED
10300..10323 ; OLD ITALIC NUMERAL FIFTY
10330..1034A ; GOTHIC LETTER NINE HUNDRED
10350..1037A ; COMBINING OLD PERMIC LETTER SII
10380..1039D ; UGARITIC LETTER SSU
1039F..103C3 ; OLD PERSIAN SIGN HA
103C8..103D5 ; OLD PERSIAN NUMBER HUNDRED
10400..1049D ; OSMANYA LETTER OO
104A0..104A9 ; OSMANYA DIGIT NINE
10500..10527 ; ELBASAN LETTER KHE
10530..10563 ; CAUCASIAN ALBANIAN LETTER KIW
1056F ; CAUCASIAN ALBANIAN CITATION MARK
10600..10736 ; LINEAR A SIGN A664
10740..10755 ; LINEAR A SIGN A732 JE
10760..10767 ; LINEAR A SIGN A807
10800..10805 ; CYPRIOT SYLLABLE JA
10808 ; CYPRIOT SYLLABLE JO
1080A..10835 ; CYPRIOT SYLLABLE WO
10837 ; CYPRIOT SYLLABLE XA
10838 ; CYPRIOT SYLLABLE XE
1083C ; CYPRIOT SYLLABLE ZA
1083F..10855 ; IMPERIAL ARAMAIC LETTER TAW
10857..1089E ; NABATAEAN LETTER TAW
108A7..108AF ; NABATAEAN NUMBER ONE HUNDRED
108E0..108F2 ; HATRAN LETTER QOPH
108F4 ; HATRAN LETTER SHIN
108F5 ; HATRAN LETTER TAW
108FB..1091B ; PHOENICIAN NUMBER THREE
1091F..10939 ; LYDIAN LETTER C
1093F ; LYDIAN TRIANGULAR MARK
10980..109B7 ; MEROITIC CURSIVE LETTER DA
109BC..109CF ; MEROITIC CURSIVE NUMBER SEVENTY
109D2..10A03 ; KHAROSHTHI VOWEL SIGN VOCALIC R
10A05 ; KHAROSHTHI VOWEL SIGN E
10A06 ; KHAROSHTHI VOWEL SIGN O
10A0C..10A13 ; KHAROSHTHI LETTER GHA
10A15..10A17 ; KHAROSHTHI LETTER JA
10A19..10A33 ; KHAROSHTHI LETTER TTTHA
10A38..10A3A ; KHAROSHTHI SIGN DOT BELOW
10A3F..10A47 ; KHAROSHTHI NUMBER ONE THOUSAND
10A50..10A58 ; KHAROSHTHI PUNCTUATION LINES
10A60..10A9F ; OLD NORTH ARABIAN NUMBER TWENTY
10AC0..10AE6 ; MANICHAEAN ABBREVIATION MARK BELOW
10AEB..10AF6 ; MANICHAEAN PUNCTUATION LINE FILLER
10B00..10B35 ; AVESTAN LETTER HE
10B39..10B55 ; INSCRIPTIONAL PARTHIAN LETTER TAW
10B58..10B72 ; INSCRIPTIONAL PAHLAVI LETTER TAW
10B78..10B91 ; PSALTER PAHLAVI LETTER TAW
10B99..10B9C ; PSALTER PAHLAVI FOUR DOTS WITH DOT
10BA9..10BAF ; PSALTER PAHLAVI NUMBER ONE HUNDRED
10C00..10C48 ; OLD TURKIC LETTER ORKHON BASH
10C80..10CB2 ; OLD HUNGARIAN CAPITAL LETTER US
10CC0..10CF2 ; OLD HUNGARIAN SMALL LETTER US
10CFA..10CFF ; OLD HUNGARIAN NUMBER ONE THOUSAND
10E60..10E7E ; RUMI FRACTION TWO THIRDS
11000..1104D ; BRAHMI PUNCTUATION LOTUS
11052..1106F ; BRAHMI DIGIT NINE
1107F..110BC ; KAITHI ENUMERATION SIGN
110BE..110C1 ; KAITHI DOUBLE DANDA
110D0..110E8 ; SORA SOMPENG LETTER MAE
110F0..110F9 ; SORA SOMPENG DIGIT NINE
11100..11134 ; CHAKMA MAAYYAA
11136..11143 ; CHAKMA QUESTION MARK
11150..11176 ; MAHAJANI LIGATURE SHRI
11180..111CD ; SHARADA SUTRA MARK
111D0..111DF ; SHARADA SECTION MARK-2
111E1..111F4 ; SINHALA ARCHAIC NUMBER ONE THOUSAND
11200..11211 ; KHOJKI LETTER JJA
11213..1123D ; KHOJKI ABBREVIATION SIGN
11280..11286 ; MULTANI LETTER GA
11288 ; MULTANI LETTER GHA
1128A..1128D ; MULTANI LETTER JJA
1128F..1129D ; MULTANI LETTER BA
1129F..112A9 ; MULTANI SECTION MARK
112B0..112EA ; KHUDAWADI SIGN VIRAMA
112F0..112F9 ; KHUDAWADI DIGIT NINE
11300..11303 ; GRANTHA SIGN VISARGA
