0041 ; 0061
03E6 ; 03E7
03E8 ; 03E9
03EA ; 03EB
03EC ; 03ED
03EE ; 03EF
03F0 ; 03BA
03F1 ; 03C1
03F2 ; 03C3
03F4 ; 03B8
03F5 ; 03B5
03F7 ; 03F8
03F9 ; 03C3
03FA ; 03FB
03FD ; 037B
03FE ; 037C
03FF ; 037D
0400 ; 0450
0401 ; 0451
0402 ; 0452
0403 ; 0453
0404 ; 0454
0405 ; 0455
0406 ; 0456
0407 ; 0457
0408 ; 0458
0409 ; 0459
040A ; 045A
040B ; 045B
040C ; 045C
040D ; 045D
040E ; 045E
040F ; 045F
0410 ; 0430
0411 ; 0431
0412 ; 0432
0413 ; 0433
0414 ; 0434
0415 ; 0435
0416 ; 0436
0417 ; 0437
0418 ; 0438
0419 ; 0439
041A ; 043A
041B ; 043B
041C ; 043C
041D ; 043D
041E ; 043E
041F ; 043F
0420 ; 0440
0421 ; 0441
0422 ; 0442
0423 ; 0443
0424 ; 0444
0425 ; 0445
0426 ; 0446
0427 ; 0447
0428 ; 0448
0429 ; 0449
042A ; 044A
042B ; 044B
042C ; 044C
042D ; 044D
042E ; 044E
042F ; 044F
0460 ; 0461
0462 ; 0463
0464 ; 0465
0466 ; 0467
0468 ; 0469
046A ; 046B
046C ; 046D
046E ; 046F
0470 ; 0471
0472 ; 0473
0474 ; 0475
0476 ; 0477
0478 ; 0479
047A ; 047B
047C ; 047D
047E ; 047F
0480 ; 0481
048A ; 048B
048C ; 048D
048E ; 048F
0490 ; 0491
0492 ; 0493
0494 ; 0495
0496 ; 0497
0498 ; 0499
049A ; 049B
049C ; 049D
049E ; 049F
04A0 ; 04A1
04A2 ; 04A3
04A4 ; 04A5
04A6 ; 04A7
04A8 ; 04A9
04AA ; 04AB
04AC ; 04AD
04AE ; 04AF
04B0 ; 04B1
04B2 ; 04B3
04B4 ; 04B5
04B6 ; 04B7
04B8 ; 04B9
04BA ; 04BB
04BC ; 04BD
04BE ; 04BF
04C0 ; 04CF
04C1 ; 04C2
04C3 ; 04C4
04C5 ; 04C6
04C7 ; 04C8
04C9 ; 04CA
04CB ; 04CC
04CD ; 04CE
04D0 ; 04D1
04D2 ; 04D3
04D4 ; 04D5
04D6 ; 04D7
04D8 ; 04D9
04DA ; 04DB
04DC ; 04DD
04DE ; 04DF
04E0 ; 04E1
04E2 ; 04E3
04E4 ; 04E5
04E6 ; 04E7
04E8 ; 04E9
04EA ; 04EB
04EC ; 04ED
04EE ; 04EF
04F0 ; 04F1
04F2 ; 04F3
04F4 ; 04F5
04F6 ; 04F7
04F8 ; 04F9
04FA ; 04FB
04FC ; 04FD
04FE ; 04FF
0500 ; 0501
0502 ; 0503
0504 ; 0505
0506 ; 0507
0508 ; 0509
050A ; 050B
050C ; 050D
050E ; 050F
0510 ; 0511
0512 ; 0513
0514 ; 0515
0516 ; 0517
0518 ; 0519
051A ; 051B
051C ; 051D
051E ; 051F
0520 ; 0521
0522 ; 0523
0524 ; 0525
0526 ; 0527
0531 ; 0561
0532 ; 0562
0533 ; 0563
0534 ; 0564
0535 ; 0565
0536 ; 0566
0537 ; 0567
0538 ; 0568
0539 ; 0569
053A ; 056A
053B ; 056B
053C ; 056C
053D ; 056D
053E ; 056E
053F ; 056F
0540 ; 0570
0541 ; 0571
0542 ; 0572
0543 ; 0573
0544 ; 0574
0545 ; 0575
0546 ; 0576
0547 ; 0577
0548 ; 0578
0549 ; 0579
054A ; 057A
054B ; 057B
054C ; 057C
054D ; 057D
054E ; 057E
054F ; 057F
0550 ; 0580
0551 ; 0581
0552 ; 0582
0553 ; 0583
0554 ; 0584
0555 ; 0585
0556 ; 0586
0587 ; 0565 0582
05F0 ; 05D5 05D5
05F1 ; 05D5 05D9
05F2 ; 05D9 05D9
0640 ;
0675 ; 0627 0674
0676 ; 0648 0674
0677 ; 06C7 0674
0678 ; 064A 0674
0958 ; 0915 093C
0959 ; 0916 093C
095A ; 0917 093C
095B ; 091C 093C
095C ; 0921 093C
095D ; 0922 093C
095E ; 092B 093C
095F ; 092F 093C
09DC ; 09A1 09BC
09DD ; 09A2 09BC
09DF ; 09AF 09BC
0A33 ; 0A32 0A3C
0A36 ; 0A38 0A3C
0A59 ; 0A16 0A3C
0A5A ; 0A17 0A3C
0A5B ; 0A1C 0A3C
0A5E ; 0A2B 0A3C
0B5C ; 0B21 0B3C
0B5D ; 0B22 0B3C
0EB3 ; 0ECD 0EB2
0EDC ; 0EAB 0E99
0EDD ; 0EAB 0EA1
0F43 ; 0F42 0FB7
0F4D ; 0F4C 0FB7
0F52 ; 0F51 0FB7
0F57 ; 0F56 0FB7
0F5C ; 0F5B 0FB7
0F69 ; 0F40 0FB5
0F73 ; 0F71 0F72
0F75 ; 0F71 0F74
0F76 ; 0FB2 0F80
0F77 ; 0FB2 0F71 0F80
0F78 ; 0FB3 0F80
0F79 ; 0FB3 0F71 0F80
0F81 ; 0F71 0F80
0F93 ; 0F92 0FB7
0F9D ; 0F9C 0FB7
0FA2 ; 0FA1 0FB7
0FA7 ; 0FA6 0FB7
0FAC ; 0FAB 0FB7
0FB9 ; 0F90 0FB5
10A0 ; 2D00
10A1 ; 2D01
10A2 ; 2D02
10A3 ; 2D03
10A4 ; 2D04
10A5 ; 2D05
10A6 ; 2D06
10A7 ; 2D07
10A8 ; 2D08
10A9 ; 2D09
10AA ; 2D0A
10AB ; 2D0B
10AC ; 2D0C
10AD ; 2D0D
10AE ; 2D0E
10AF ; 2D0F
10B0 ; 2D10
10B1 ; 2D11
10B2 ; 2D12
10B3 ; 2D13
10B4 ; 2D14
10B5 ; 2D15
10B6 ; 2D16
10B7 ; 2D17
10B8 ; 2D18
10B9 ; 2D19
10BA ; 2D1A
10BB ; 2D1B
10BC ; 2D1C
10BD ; 2D1D
10BE ; 2D1E
10BF ; 2D1F
10C0 ; 2D20
10C1 ; 2D21
10C2 ; 2D22
10C3 ; 2D23
10C4 ; 2D24
10C5 ; 2D25
180B ;
180C ;
180D ;
1E00 ; 1E01
1E02 ; 1E03
1E04 ; 1E05
1E06 ; 1E07
1E08 ; 1E09
1E0A ; 1E0B
1E0C ; 1E0D
1E0E ; 1E0F
1E10 ; 1E11
1E12 ; 1E13
1E14 ; 1E15
1E16 ; 1E17
1E18 ; 1E19
1E1A ; 1E1B
1E1C ; 1E1D
1E1E ; 1E1F
1E20 ; 1E21
1E22 ; 1E23
1E24 ; 1E25
1E26 ; 1E27
1E28 ; 1E29
1E2A ; 1E2B
1E2C ; 1E2D
1E2E ; 1E2F
1E30 ; 1E31
1E32 ; 1E33
1E34 ; 1E35
1E36 ; 1E37
1E38 ; 1E39
1E3A ; 1E3B
1E3C ; 1E3D
1E3E ; 1E3F
1E40 ; 1E41
1E42 ; 1E43
1E44 ; 1E45
1E46 ; 1E47
1E48 ; 1E49
1E4A ; 1E4B
1E4C ; 1E4D
1E4E ; 1E4F
1E50 ; 1E51
1E52 ; 1E53
1E54 ; 1E55
1E56 ; 1E57
1E58 ; 1E59
1E5A ; 1E5B
1E5C ; 1E5D
1E5E ; 1E5F
1E60 ; 1E61
1E62 ; 1E63
1E64 ; 1E65
1E66 ; 1E67
1E68 ; 1E69
1E6A ; 1E6B
1E6C ; 1E6D
1E6E ; 1E6F
1E70 ; 1E71
1E72 ; 1E73
1E74 ; 1E75
1E76 ; 1E77
1E78 ; 1E79
1E7A ; 1E7B
1E7C ; 1E7D
1E7E ; 1E7F
1E80 ; 1E81
1E82 ; 1E83
1E84 ; 1E85
1E86 ; 1E87
1E88 ; 1E89
1E8A ; 1E8B
1E8C ; 1E8D
1E8E ; 1E8F
1E90 ; 1E91
1E92 ; 1E93
1E94 ; 1E95
1E9A ; 0061 02BE
1E9B ; 1E61
1E9E ; 00DF
1EA0 ; 1EA1
1EA2 ; 1EA3
1EA4 ; 1EA5
1EA6 ; 1EA7
1EA8 ; 1EA9
1EAA ; 1EAB
1EAC ; 1EAD
1EAE ; 1EAF
1EB0 ; 1EB1
1EB2 ; 1EB3
1EB4 ; 1EB5
1EB6 ; 1EB7
1EB8 ; 1EB9
1EBA ; 1EBB
1EBC ; 1EBD
1EBE ; 1EBF
1EC0 ; 1EC1
1EC2 ; 1EC3
1EC4 ; 1EC5
1EC6 ; 1EC7
1EC8 ; 1EC9
1ECA ; 1ECB
1ECC ; 1ECD
1ECE ; 1ECF
1ED0 ; 1ED1
1ED2 ; 1ED3
1ED4 ; 1ED5
1ED6 ; 1ED7
1ED8 ; 1ED9
1EDA ; 1EDB
1EDC ; 1EDD
1EDE ; 1EDF
1EE0 ; 1EE1
1EE2 ; 1EE3
1EE4 ; 1EE5
1EE6 ; 1EE7
1EE8 ; 1EE9
1EEA ; 1EEB
1EEC ; 1EED
1EEE ; 1EEF
1EF0 ; 1EF1
1EF2 ; 1EF3
1EF4 ; 1EF5
1EF6 ; 1EF7
1EF8 ; 1EF9
1EFA ; 1EFB
1EFC ; 1EFD
1EFE ; 1EFF
1F08 ; 1F00
1F09 ; 1F01
1F0A ; 1F02
1F0B ; 1F03
1F0C ; 1F04
1F0D ; 1F05
1F0E ; 1F06
1F0F ; 1F07
1F18 ; 1F10
1F19 ; 1F11
1F1A ; 1F12
1F1B ; 1F13
1F1C ; 1F14
1F1D ; 1F15
1F28 ; 1F20
1F29 ; 1F21
1F2A ; 1F22
1F2B ; 1F23
1F2C ; 1F24
1F2D ; 1F25
1F2E ; 1F26
1F2F ; 1F27
1F38 ; 1F30
1F39 ; 1F31
1F3A ; 1F32
1F3B ; 1F33
1F3C ; 1F34
1F3D ; 1F35
1F3E ; 1F36
1F3F ; 1F37
1F48 ; 1F40
1F49 ; 1F41
1F4A ; 1F42
1F4B ; 1F43
1F4C ; 1F44
1F4D ; 1F45
1F59 ; 1F51
1F5B ; 1F53
1F5D ; 1F55
1F5F ; 1F57
1F68 ; 1F60
1F69 ; 1F61
1F6A ; 1F62
1F6B ; 1F63
1F6C ; 1F64
1F6D ; 1F65
1F6E ; 1F66
1F6F ; 1F67
1F71 ; 03AC
1F73 ; 03AD
1F75 ; 03AE
1F77 ; 03AF
1F79 ; 03CC
1F7B ; 03CD
1F7D ; 03CE
1F80 ; 1F00 03B9
1F81 ; 1F01 03B9
1F82 ; 1F02 03B9
1F83 ; 1F03 03B9
1F84 ; 1F04 03B9
1F85 ; 1F05 03B9
1F86 ; 1F06 03B9
1F87 ; 1F07 03B9
1F88 ; 1F00 03B9
1F89 ; 1F01 03B9
1F8A ; 1F02 03B9
1F8B ; 1F03 03B9
1F8C ; 1F04 03B9
1F8D ; 1F05 03B9
1F8E ; 1F06 03B9
1F8F ; 1F07 03B9
1F90 ; 1F20 03B9
1F91 ; 1F21 03B9
1F92 ; 1F22 03B9
1F93 ; 1F23 03B9
1F94 ; 1F24 03B9
1F95 ; 1F25 03B9
1F96 ; 1F26 03B9
1F97 ; 1F27 03B9
1F98 ; 1F20 03B9
1F99 ; 1F21 03B9
1F9A ; 1F22 03B9
1F9B ; 1F23 03B9
1F9C ; 1F24 03B9
1F9D ; 1F25 03B9
1F9E ; 1F26 03B9
1F9F ; 1F27 03B9
1FA0 ; 1F60 03B9
1FA1 ; 1F61 03B9
1FA2 ; 1F62 03B9
1FA3 ; 1F63 03B9
1FA4 ; 1F64 03B9
1FA5 ; 1F65 03B9
1FA6 ; 1F66 03B9
1FA7 ; 1F67 03B9
1FA8 ; 1F60 03B9
1FA9 ; 1F61 03B9
1FAA ; 1F62 03B9
1FAB ; 1F63 03B9
1FAC ; 1F64 03B9
1FAD ; 1F65 03B9
1FAE ; 1F66 03B9
1FAF ; 1F67 03B9
1FB2 ; 1F70 03B9
1FB3 ; 03B1 03B9
1FB4 ; 03AC 03B9
1FB7 ; 1FB6 03B9
1FB8 ; 1FB0
1FB9 ; 1FB1
1FBA ; 1F70
1FBB ; 03AC
1FBC ; 03B1 03B9
1FBE ; 03B9
1FC2 ; 1F74 03B9
1FC3 ; 03B7 03B9
1FC4 ; 03AE 03B9
1FC7 ; 1FC6 03B9
1FC8 ; 1F72
1FC9 ; 03AD
1FCA ; 1F74
1FCB ; 03AE
1FCC ; 03B7 03B9
1FD3 ; 0390
1FD8 ; 1FD0
1FD9 ; 1FD1
1FDA ; 1F76
1FDB ; 03AF
1FE3 ; 03B0
1FE8 ; 1FE0
1FE9 ; 1FE1
1FEA ; 1F7A
1FEB ; 03CD
1FEC ; 1FE5
1FEE ; 0385
1FEF ; 0060
1FF2 ; 1F7C 03B9
1FF3 ; 03C9 03B9
1FF4 ; 03CE 03B9
1FF7 ; 1FF6 03B9
1FF8 ; 1F78
1FF9 ; 03CC
1FFA ; 1F7C
1FFB ; 03CE
1FFC ; 03C9 03B9
1FFD ; 00B4
2000 ; 2002
2001 ; 2003
200E ;
200F ;
202A ;
202B ;
202C ;
202D ;
202E ;
2102 ; 0063
2107 ; 025B
210A ; 0067
210B ; 0068
210C ; 0068
210D ; 0068
210E ; 0068
210F ; 0127
2110 ; 0069
2111 ; 0069
2112 ; 006C
2113 ; 006C
2115 ; 006E
2119 ; 0070
211A ; 0071
211B ; 0072
211C ; 0072
211D ; 0072
2124 ; 007A
2126 ; 03C9
2128 ; 007A
212A ; 006B
212B ; 00E5
212C ; 0062
212D ; 0063
212F ; 0065
2130 ; 0065
2131 ; 0066
2132 ; 214E
2133 ; 006D
2134 ; 006F
2135 ; 05D0
2136 ; 05D1
2137 ; 05D2
2138 ; 05D3
2139 ; 0069
213C ; 03C0
213D ; 03B3
213E ; 03B3
213F ; 03C0
2145 ; 0064
2146 ; 0064
2147 ; 0065
2148 ; 0069
2149 ; 006A
2160 ; 2170
2161 ; 2171
2162 ; 2172
2163 ; 2173
2164 ; 2174
2165 ; 2175
2166 ; 2176
2167 ; 2177
2168 ; 2178
2169 ; 2179
216A ; 217A
216B ; 217B
216C ; 217C
216D ; 217D
216E ; 217E
216F ; 217F
2183 ; 2184
2329 ; 3008
232A ; 3009
24B6 ; 24D0
24B7 ; 24D1
24B8 ; 24D2
24B9 ; 24D3
24BA ; 24D4
24BB ; 24D5
24BC ; 24D6
24BD ; 24D7
24BE ; 24D8
24BF ; 24D9
24C0 ; 24DA
24C1 ; 24DB
24C2 ; 24DC
24C3 ; 24DD
24C4 ; 24DE
24C5 ; 24DF
24C6 ; 24E0
24C7 ; 24E1
24C8 ; 24E2
24C9 ; 24E3
24CA ; 24E4
24CB ; 24E5
24CC ; 24E6
24CD ; 24E7
24CE ; 24E8
24CF ; 24E9
2ADC ; 2ADD 0338
2C00 ; 2C30
2C01 ; 2C31
2C02 ; 2C32
2C03 ; 2C33
2C04 ; 2C34
2C05 ; 2C35
2C06 ; 2C36
2C07 ; 2C37
2C08 ; 2C38
2C09 ; 2C39
2C0A ; 2C3A
2C0B ; 2C3B
2C0C ; 2C3C
2C0D ; 2C3D
2C0E ; 2C3E
2C0F ; 2C3F
2C10 ; 2C40
2C11 ; 2C41
2C12 ; 2C42
2C13 ; 2C43
2C14 ; 2C44
2C15 ; 2C45
2C16 ; 2C46
2C17 ; 2C47
2C18 ; 2C48
2C19 ; 2C49
2C1A ; 2C4A
2C1B ; 2C4B
2C1C ; 2C4C
2C1D ; 2C4D
2C1E ; 2C4E
2C1F ; 2C4F
2C20 ; 2C50
2C21 ; 2C51
2C22 ; 2C52
2C23 ; 2C53
2C24 ; 2C54
2C25 ; 2C55
2C26 ; 2C56
2C27 ; 2C57
2C28 ; 2C58
2C29 ; 2C59
2C2A ; 2C5A
2C2B ; 2C5B
2C2C ; 2C5C
2C2D ; 2C5D
2C2E ; 2C5E
2C60 ; 2C61
2C62 ; 026B
2C63 ; 1D7D
2C64 ; 027D
2C67 ; 2C68
2C69 ; 2C6A
2C6B ; 2C6C
2C6D ; 0251
2C6E ; 0271
2C6F ; 0250
2C70 ; 0252
2C72 ; 2C73
2C75 ; 2C76
2C7E ; 023F
2C7F ; 0240
2C80 ; 2C81
2C82 ; 2C83
2C84 ; 2C85
2C86 ; 2C87
2C88 ; 2C89
2C8A ; 2C8B
2C8C ; 2C8D
2C8E ; 2C8F
2C90 ; 2C91
2C92 ; 2C93
2C94 ; 2C95
2C96 ; 2C97
2C98 ; 2C99
2C9A ; 2C9B
2C9C ; 2C9D
2C9E ; 2C9F
2CA0 ; 2CA1
2CA2 ; 2CA3
2CA4 ; 2CA5
2CA6 ; 2CA7
2CA8 ; 2CA9
2CAA ; 2CAB
2CAC ; 2CAD
2CAE ; 2CAF
2CB0 ; 2CB1
2CB2 ; 2CB3
2CB4 ; 2CB5
2CB6 ; 2CB7
2CB8 ; 2CB9
2CBA ; 2CBB
2CBC ; 2CBD
2CBE ; 2CBF
2CC0 ; 2CC1
2CC2 ; 2CC3
2CC4 ; 2CC5
2CC6 ; 2CC7
2CC8 ; 2CC9
2CCA ; 2CCB
2CCC ; 2CCD
2CCE ; 2CCF
2CD0 ; 2CD1
2CD2 ; 2CD3
2CD4 ; 2CD5
2CD6 ; 2CD7
2CD8 ; 2CD9
2CDA ; 2CDB
2CDC ; 2CDD
2CDE ; 2CDF
2CE0 ; 2CE1
2CE2 ; 2CE3
2CEB ; 2CEC
2CED ; 2CEE
3000 ; 0020
3038 ; 5341
3039 ; 5344
303A ; 5345
309B ; 3099
309C ; 309A
A640 ; A641
A642 ; A643
A644 ; A645
A646 ; A647
A648 ; A649
A64A ; A64B
A64C ; A64D
A64E ; A64F
A650 ; A651
A652 ; A653
A654 ; A655
A656 ; A657
A658 ; A659
A65A ; A65B
A65C ; A65D
A65E ; A65F
A660 ; A661
A662 ; A663
A664 ; A665
A666 ; A667
A668 ; A669
A66A ; A66B
A66C ; A66D
A680 ; A681
A682 ; A683
A684 ; A685
A686 ; A687
A688 ; A689
A68A ; A68B
A68C ; A68D
A68E ; A68F
A690 ; A691
A692 ; A693
A694 ; A695
A696 ; A697
A722 ; A723
A724 ; A725
A726 ; A727
A728 ; A729
A72A ; A72B
A72C ; A72D
A72E ; A72F
A732 ; A733
A734 ; A735
A736 ; A737
A738 ; A739
A73A ; A73B
A73C ; A73D
A73E ; A73F
A740 ; A741
A742 ; A743
A744 ; A745
A746 ; A747
A748 ; A749
A74A ; A74B
A74C ; A74D
A74E ; A74F
A750 ; A751
A752 ; A753
A754 ; A755
A756 ; A757
A758 ; A759
A75A ; A75B
A75C ; A75D
A75E ; A75F
A760 ; A761
A762 ; A763
A764 ; A765
A766 ; A767
A768 ; A769
A76A ; A76B
A76C ; A76D
A76E ; A76F
A779 ; A77A
A77B ; A77C
A77D ; 1D79
A77E ; A77F
A780 ; A781
A782 ; A783
A784 ; A785
A786 ; A787
A78B ; A78C
A78D ; 0265
A790 ; A791
A7A0 ; A7A1
A7A2 ; A7A3
A7A4 ; A7A5
A7A6 ; A7A7
A7A8 ; A7A9
F900 ; 8C48
F901 ; 66F4
F902 ; 8ECA
F903 ; 8CC8
F904 ; 6ED1
F905 ; 4E32
F906 ; 53E5
F907 ; 9F9C
F908 ; 9F9C
F909 ; 5951
F90A ; 91D1
F90B ; 5587
F90C ; 5948
F90D ; 61F6
F90E ; 7669
F90F ; 7F85
F910 ; 863F
F911 ; 87BA
F912 ; 88F8
F913 ; 908F
F914 ; 6A02
F915 ; 6D1B
F916 ; 70D9
F917 ; 73DE
F918 ; 843D
F919 ; 916A
F91A ; 99F1
F91B ; 4E82
F91C ; 5375
F91D ; 6B04
F91E ; 721B
F91F ; 862D
F920 ; 9E1E
F921 ; 5D50
F922 ; 6FEB
F923 ; 85CD
F924 ; 8964
F925 ; 62C9
F926 ; 81D8
F927 ; 881F
F928 ; 5ECA
F929 ; 6717
F92A ; 6D6A
F92B ; 72FC
F92C ; 90CE
F92D ; 4F86
F92E ; 51B7
F92F ; 52DE
F930 ; 64C4
F931 ; 6AD3
F932 ; 7210
F933 ; 76E7
F934 ; 8001
F935 ; 8606
F936 ; 865C
F937 ; 8DEF
F938 ; 9732
F939 ; 9B6F
F93A ; 9DFA
F93B ; 788C
F93C ; 797F
F93D ; 7DA0
F93E ; 83C9
F93F ; 9304
F940 ; 9E7F
F941 ; 8AD6
F942 ; 58DF
F943 ; 5F04
F944 ; 7C60
F945 ; 807E
F946 ; 7262
F947 ; 78CA
F948 ; 8CC2
F949 ; 96F7
F94A ; 58D8
F94B ; 5C62
F94C ; 6A13
F94D ; 6DDA
F94E ; 6F0F
F94F ; 7D2F
F950 ; 7E37
F951 ; 964B
F952 ; 52D2
F953 ; 808B
F954 ; 51DC
F955 ; 51CC
F956 ; 7A1C
F957 ; 7DBE
F958 ; 83F1
F959 ; 9675
F95A ; 8B80
F95B ; 62CF
F95C ; 6A02
F95D ; 8AFE
F95E ; 4E39
F95F ; 5BE7
F960 ; 6012
F961 ; 7387
F962 ; 7570
F963 ; 5317
F964 ; 78FB
F965 ; 4FBF
F966 ; 5FA9
F967 ; 4E0D
F968 ; 6CCC
F969 ; 6578
F96A ; 7D22
F96B ; 53C3
F96C ; 585E
F96D ; 7701
F96E ; 8449
F96F ; 8AAA
F970 ; 6BBA
F971 ; 8FB0
F972 ; 6C88
F973 ; 62FE
F974 ; 82E5
F975 ; 63A0
F976 ; 7565
F977 ; 4EAE
F978 ; 5169
F979 ; 51C9
F97A ; 6881
F97B ; 7CE7
F97C ; 826F
F97D ; 8AD2
F97E ; 91CF
F97F ; 52F5
F980 ; 5442
F981 ; 5973
F982 ; 5EEC
F983 ; 65C5
F984 ; 6FFE
F985 ; 792A
F986 ; 95AD
F987 ; 9A6A
F988 ; 9E97
F989 ; 9ECE
F98A ; 529B
F98B ; 66C6
F98C ; 6B77
F98D ; 8F62
F98E ; 5E74
F98F ; 6190
F990 ; 6200
F991 ; 649A
F992 ; 6F23
F993 ; 7149
F994 ; 7489
F995 ; 79CA
F996 ; 7DF4
F997 ; 806F
F998 ; 8F26
F999 ; 84EE
F99A ; 9023
F99B ; 934A
F99C ; 5217
F99D ; 52A3
F99E ; 54BD
F99F ; 70C8
F9A0 ; 88C2
F9A1 ; 8AAA
F9A2 ; 5EC9
F9A3 ; 5FF5
F9A4 ; 637B
F9A5 ; 6BAE
F9A6 ; 7C3E
F9A7 ; 7375
F9A8 ; 4EE4
