# LinkDetectionTest.txt
# Date: 2025-12-03 22:08:24 GMT 
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# The usage and stability of these values is covered in https://www.unicode.org/reports/tr58/
#
# Format: each line contains zero or more marked links, such as ⸠abc.com⸡
# Operation: For each line.
# • Create a copy of the line, with the characters ⸠ and ⸡ removed.
# • Run link detection on the line, inserting ⸠ and ⸡ around each detected link.
# • Report a failure if the result is not identical to the original line.
# ================================================

a test.invalid b
a ⸠test.COM⸡ b
a ⸠blogspot.com⸡ b
a com b
a ⸠example.com:443⸡ b
a ⸠example.com/123⸡ b
a ⸠example.com?123⸡ b
a ⸠example.com#123⸡ b
a ⸠example.com/123?123#123⸡ b
a (⸠example.com/123?123#123⸡) b
a (⸠example.com/123?123#(123)⸡) b
a ⸠example.com/123.html⸡ b
a ⸠example.com/123⸡. HTML is great
Lorem ipsum ⸠تجربة-القبول-الشامل.xn--mgbah1a3hjkrd⸡ dolor sit amet
Lorem ipsum ⸠xn-----ctdbabcfhu9c2b9l1acccr4c.xn--mgbah1a3hjkrd⸡ dolor sit amet
Lorem ipsum ⸠universal-acceptance-test.icu/测试⸡ dolor sit amet
Lorem ipsum ⸠普遍适用测试.我爱你/测试⸡ dolor sit amet
Lorem ipsum ⸠تجربة-القبول-الشامل.موريتانيا/تجربة⸡ dolor sit amet
blah ⸠en.wikipedia.org/wiki/The_Lovemakers_(film)⸡ blah
blah ⸠example.com/?foo[1]=a&amp;foo[2]=b⸡ blah
Lorem ipsum ⸠comoyo.com/play/S(123)⸡ dolor sit amet
Lorem ipsum ⸠example.com/knutsen_ludvigsen/ver(k)ste(d)/brilleslange.mp3⸡ dolor sit amet
Lorem ipsum ⸠example.com/Bob_Marley/Rastaman_Vibration/11_Jah_Live_(originally_issued_as_Island_Single_(WIP_6265))_(bonus_track⸡ dolor sit amet
Lorem ipsum ⸠business.timesonline.co.uk/article/0,,9065-2473189,00.html⸡ dolor sit amet
Lorem ipsum ⸠www.mail-archive.com/ruby-talk@ruby-lang.org/⸡ dolor sit amet
Lorem ipsum ⸠tools.ietf.org/html/rfc3986⸡ dolor sit amet
Lorem ipsum ⸠www.amazon.com/Testing-Equal-Sign-In-Path/ref=pd_bbs_sr_1?ie=UTF8&s=books&qid=1198861734&sr=8-1⸡ dolor sit amet
Lorem ipsum ⸠www.google.com/doku.php?id=gps:resource:scs:start⸡ dolor sit amet
Lorem ipsum ⸠maps.google.co.uk/maps?f=q&q=the+london+eye&ie=UTF8&ll=51.503373,-0.11939&spn=0.007052,0.012767&z=16&iwloc=A⸡ dolor sit amet
Lorem ipsum ⸠www.rubyonrails.com/foo.cgi?trailing_hyphen=value-⸡ dolor sit amet
Lorem ipsum ⸠www.rubyonrails.com/foo.cgi?trailing_forward_slash=value⸡ dolor sit amet
