# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:09 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

0000..0008    ; restricted ; default-ignorable                                        #  [9] (U+0000..U+0008)  <control-0000>..<control-0008>
025C..025E    ; restricted ; technical symbol (phonetic)                              #  [3] (ɜ..ɞ)  LATIN SMALL LETTER REVERSED OPEN E..LATIN SMALL LETTER CLOSED REVERSED OPEN E
025F          ; restricted ; obsolete phonetic                                        #      (ɟ)  LATIN SMALL LETTER DOTLESS J WITH STROKE
0261..0262    ; restricted ; technical symbol (phonetic)                              #  [2] (ɡ..ɢ)  LATIN SMALL LETTER SCRIPT G..LATIN LETTER SMALL CAPITAL G
0264..0267    ; restricted ; technical symbol (phonetic)                              #  [4] (ɤ..ɧ)  LATIN SMALL LETTER RAMS HORN..LATIN SMALL LETTER HENG WITH HOOK
026A..026E    ; restricted ; technical symbol (phonetic)                              #  [5] (ɪ..ɮ)  LATIN LETTER SMALL CAPITAL I..LATIN SMALL LETTER LEZH
0270..0271    ; restricted ; technical symbol (phonetic)                              #  [2] (ɰ..ɱ)  LATIN SMALL LETTER TURNED M WITH LONG LEG..LATIN SMALL LETTER M WITH HOOK
0273..0274    ; restricted ; technical symbol (phonetic)                              #  [2] (ɳ..ɴ)  LATIN SMALL LETTER N WITH RETROFLEX HOOK..LATIN LETTER SMALL CAPITAL N
0276          ; restricted ; technical symbol (phonetic)                              #      (ɶ)  LATIN LETTER SMALL CAPITAL OE
0277          ; restricted ; obsoleted by IPA in 1989                                 #      (ɷ)  LATIN SMALL LETTER CLOSED OMEGA
0278..027B    ; restricted ; technical symbol (phonetic)                              #  [4] (ɸ..ɻ)  LATIN SMALL LETTER PHI..LATIN SMALL LETTER TURNED R WITH HOOK
027C          ; restricted ; obsoleted by IPA in 1989                                 #      (ɼ)  LATIN SMALL LETTER R WITH LONG LEG
027D..027F    ; restricted ; technical symbol (phonetic)                              #  [3] (ɽ..ɿ)  LATIN SMALL LETTER R WITH TAIL..LATIN SMALL LETTER REVERSED R WITH FISHHOOK
0281..0282    ; restricted ; technical symbol (phonetic)                              #  [2] (ʁ..ʂ)  LATIN LETTER SMALL CAPITAL INVERTED R..LATIN SMALL LETTER S WITH HOOK
0284..0287    ; restricted ; technical symbol (phonetic)                              #  [4] (ʄ..ʇ)  LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK..LATIN SMALL LETTER TURNED T
0289          ; restricted ; technical symbol (phonetic)                              #      (ʉ)  LATIN SMALL LETTER U BAR
028C..0291    ; restricted ; technical symbol (phonetic)                              #  [6] (ʌ..ʑ)  LATIN SMALL LETTER TURNED V..LATIN SMALL LETTER Z WITH CURL
0293          ; restricted ; technical symbol (phonetic)                              #      (ʓ)  LATIN SMALL LETTER EZH WITH CURL
0295..029D    ; restricted ; technical symbol (phonetic)                              #  [9] (ʕ..ʝ)  LATIN LETTER PHARYNGEAL VOICED FRICATIVE..LATIN SMALL LETTER J WITH CROSSED-TAIL
029E          ; restricted ; obsolete phonetic                                        #      (ʞ)  LATIN SMALL LETTER TURNED K
029F..02A2    ; restricted ; technical symbol (phonetic)                              #  [4] (ʟ..ʢ)  LATIN LETTER SMALL CAPITAL L..LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
02A3..02AB    ; restricted ; technical symbol (Latin digraph)                         #  [9] (ʣ..ʫ)  LATIN SMALL LETTER DZ DIGRAPH..LATIN SMALL LETTER LZ DIGRAPH
02AC..02AD    ; restricted ; technical symbol (phonetic)                              #  [2] (ʬ..ʭ)  LATIN LETTER BILABIAL PERCUSSIVE..LATIN LETTER BIDENTAL PERCUSSIVE
02B9..02C1    ; restricted ; technical symbol (phonetic)                              #  [9] (ʹ..ˁ)  MODIFIER LETTER PRIME..MODIFIER LETTER REVERSED GLOTTAL STOP
02C2..02C5    ; restricted ; not in XID+                                              #  [4] (˂..˅)  MODIFIER LETTER LEFT ARROWHEAD..MODIFIER LETTER DOWN ARROWHEAD
02C6..02D1    ; restricted ; technical symbol (phonetic)                              # [12] (ˆ..ˑ)  MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02D2..02D7    ; restricted ; not in XID+                                              #  [6] (˒..˗)  MODIFIER LETTER CENTRED RIGHT HALF RING..MODIFIER LETTER MINUS SIGN
02DE..02DF    ; restricted ; not in XID+                                              #  [2] (˞..˟)  MODIFIER LETTER RHOTIC HOOK..MODIFIER LETTER CROSS ACCENT
02E5..02ED    ; restricted ; not in XID+                                              #  [9] (˥..˭)  MODIFIER LETTER EXTRA-HIGH TONE BAR..MODIFIER LETTER UNASPIRATED
02EE          ; restricted ; technical symbol (phonetic)                              #      (ˮ)  MODIFIER LETTER DOUBLE APOSTROPHE
0340..0341    ; restricted ; deprecated or discouraged                                #  [2] (̀..́)  COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0343          ; restricted ; archaic                                                  #      (̓)  COMBINING GREEK KORONIS
0344          ; restricted ; deprecated or discouraged                                #      (̈́)  COMBINING GREEK DIALYTIKA TONOS
034F          ; restricted ; default-ignorable                                        #      (U+034F)  COMBINING GRAPHEME JOINER
0375          ; restricted ; not in XID+                                              #      (͵)  GREEK LOWER NUMERAL SIGN
03D0..03D1    ; restricted ; archaic                                                  #  [2] (ϐ..ϑ)  GREEK BETA SYMBOL..GREEK THETA SYMBOL
03D5..03E1    ; restricted ; archaic                                                  # [13] (ϕ..ϡ)  GREEK PHI SYMBOL..GREEK SMALL LETTER SAMPI
03E2..03EF    ; restricted ; liturgical script                                        # [14] (Ϣ..ϯ)  COPTIC CAPITAL LETTER SHEI..COPTIC SMALL LETTER DEI
03F3          ; restricted ; presentation form                                        #      (ϳ)  GREEK LETTER YOT
03F6          ; restricted ; not in XID+                                              #      (϶)  GREEK REVERSED LUNATE EPSILON SYMBOL
03F7..03F8    ; restricted ; archaic (Bactrian)                                       #  [2] (Ϸ..ϸ)  GREEK CAPITAL LETTER SHO..GREEK SMALL LETTER SHO
03F9..03FB    ; restricted ; archaic                                                  #  [3] (Ϲ..ϻ)  GREEK CAPITAL LUNATE SIGMA SYMBOL..GREEK SMALL LETTER SAN
0482          ; restricted ; not in XID+                                              #      (҂)  CYRILLIC THOUSANDS SIGN
0483..0486    ; restricted ; archaic                                                  #  [4] (҃..҆)  COMBINING CYRILLIC TITLO..COMBINING CYRILLIC PSILI PNEUMATA
0488..0489    ; restricted ; not in XID+                                              #  [2] (҈..҉)  COMBINING CYRILLIC HUNDRED THOUSANDS SIGN..COMBINING CYRILLIC MILLIONS SIGN
0559          ; restricted ; not part of identifers                                   #      (ՙ)  ARMENIAN MODIFIER LETTER LEFT HALF RING
055A..055F    ; restricted ; not in XID+                                              #  [6] (՚..՟)  ARMENIAN APOSTROPHE..ARMENIAN ABBREVIATION MARK
0589..058A    ; restricted ; not in XID+                                              #  [2] (։..֊)  ARMENIAN FULL STOP..ARMENIAN HYPHEN
05A2          ; restricted ; archaic                                                  #      (֢)  HEBREW ACCENT ATNAH HAFUKH
05BE          ; restricted ; not in XID+                                              #      (־)  HEBREW PUNCTUATION MAQAF
05C0          ; restricted ; not in XID+                                              #      (׀)  HEBREW PUNCTUATION PASEQ
05C3          ; restricted ; not in XID+                                              #      (׃)  HEBREW PUNCTUATION SOF PASUQ
05C5..05C7    ; restricted ; archaic                                                  #  [3] (ׅ..ׇ)  HEBREW MARK LOWER DOT..HEBREW POINT QAMATS QATAN
05F3..05F4    ; restricted ; not in XID+                                              #  [2] (׳..״)  HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
0600..0603    ; restricted ; default-ignorable                                        #  [4] (U+0600..U+0603)  ARABIC NUMBER SIGN..ARABIC SIGN SAFHA
060C          ; restricted ; not in XID+                                              #      (،)  ARABIC COMMA
061B          ; restricted ; not in XID+                                              #      (؛)  ARABIC SEMICOLON
061F          ; restricted ; not in XID+                                              #      (؟)  ARABIC QUESTION MARK
0640          ; restricted ; presentation form                                        #      (ـ)  ARABIC TATWEEL
066A..066D    ; restricted ; not in XID+                                              #  [4] (٪..٭)  ARABIC PERCENT SIGN..ARABIC FIVE POINTED STAR
066E..066F    ; restricted ; archaic                                                  #  [2] (ٮ..ٯ)  ARABIC LETTER DOTLESS BEH..ARABIC LETTER DOTLESS QAF
068E          ; restricted ; archaic (Sindhi)                                         #      (ڎ)  ARABIC LETTER DUL
06D4          ; restricted ; not in XID+                                              #      (۔)  ARABIC FULL STOP
06DD          ; restricted ; default-ignorable                                        #      (U+06DD)  ARABIC END OF AYAH
06DE          ; restricted ; not in XID+                                              #      (۞)  ARABIC START OF RUB EL HIZB
06E9          ; restricted ; not in XID+                                              #      (۩)  ARABIC PLACE OF SAJDAH
06FD..06FE    ; restricted ; not in XID+                                              #  [2] (۽..۾)  ARABIC SIGN SINDHI AMPERSAND..ARABIC SIGN SINDHI POSTPOSITION MEN
0700..070D    ; restricted ; not in XID+                                              # [14] (܀..܍)  SYRIAC END OF PARAGRAPH..SYRIAC HARKLEAN ASTERISCUS
070F          ; restricted ; default-ignorable                                        #      (U+070F)  SYRIAC ABBREVIATION MARK
0740..074A    ; restricted ; technical                                                # [11] (݀..݊)  SYRIAC FEMININE DOT..SYRIAC BARREKH
0964..0965    ; restricted ; not in XID+                                              #  [2] (।..॥)  DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0970          ; restricted ; not in XID+                                              #      (॰)  DEVANAGARI ABBREVIATION SIGN
09F2..09FA    ; restricted ; not in XID+                                              #  [9] (৲..৺)  BENGALI RUPEE MARK..BENGALI ISSHAR
0B70          ; restricted ; not in XID+                                              #      (୰)  ORIYA ISSHAR
0BF0..0BF2    ; restricted ; not in XID+                                              #  [3] (௰..௲)  TAMIL NUMBER TEN..TAMIL NUMBER ONE THOUSAND
0CDE          ; restricted ; archaic                                                  #      (ೞ)  KANNADA LETTER FA
0DF4          ; restricted ; not in XID+                                              #      (෴)  SINHALA PUNCTUATION KUNDDALIYA
0E3F          ; restricted ; not in XID+                                              #      (฿)  THAI CURRENCY SYMBOL BAHT
0E4F          ; restricted ; not in XID+                                              #      (๏)  THAI CHARACTER FONGMAN
0E5A..0E5B    ; restricted ; not in XID+                                              #  [2] (๚..๛)  THAI CHARACTER ANGKHANKHU..THAI CHARACTER KHOMUT
0F01..0F0B    ; restricted ; not in XID+                                              # [11] (༁..་)  TIBETAN MARK GTER YIG MGO TRUNCATED A..TIBETAN MARK INTERSYLLABIC TSHEG
0F0D..0F17    ; restricted ; not in XID+                                              # [11] (།..༗)  TIBETAN MARK SHAD..TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
0F1A..0F1F    ; restricted ; not in XID+                                              #  [6] (༚..༟)  TIBETAN SIGN RDEL DKAR GCIG..TIBETAN SIGN RDEL DKAR RDEL NAG
0F2A..0F34    ; restricted ; not in XID+                                              # [11] (༪..༴)  TIBETAN DIGIT HALF ONE..TIBETAN MARK BSDUS RTAGS
0F36          ; restricted ; not in XID+                                              #      (༶)  TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F38          ; restricted ; not in XID+                                              #      (༸)  TIBETAN MARK CHE MGO
0F3A..0F3D    ; restricted ; not in XID+                                              #  [4] (༺..༽)  TIBETAN MARK GUG RTAGS GYON..TIBETAN MARK ANG KHANG GYAS
0F73          ; restricted ; deprecated or discouraged                                #      (ཱི)  TIBETAN VOWEL SIGN II
0F75          ; restricted ; deprecated or discouraged                                #      (ཱུ)  TIBETAN VOWEL SIGN UU
0F77          ; restricted ; deprecated or discouraged                                #      (ཷ)  TIBETAN VOWEL SIGN VOCALIC RR
0F79          ; restricted ; deprecated or discouraged                                #      (ཹ)  TIBETAN VOWEL SIGN VOCALIC LL
0F81          ; restricted ; deprecated or discouraged                                #      (ཱྀ)  TIBETAN VOWEL SIGN REVERSED II
0F85          ; restricted ; not in XID+                                              #      (྅)  TIBETAN MARK PALUTA
0FBE..0FC5    ; restricted ; not in XID+                                              #  [8] (྾..࿅)  TIBETAN KU RU KHA..TIBETAN SYMBOL RDO RJE
0FC7..0FCC    ; restricted ; not in XID+                                              #  [6] (࿇..࿌)  TIBETAN SYMBOL RDO RJE RGYA GRAM..TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCF          ; restricted ; not in XID+                                              #      (࿏)  TIBETAN SIGN RDEL NAG GSUM
104A..104F    ; restricted ; not in XID+                                              #  [6] (၊..၏)  MYANMAR SIGN LITTLE SECTION..MYANMAR SYMBOL GENITIVE
10F1..10F6    ; restricted ; archaic                                                  #  [6] (ჱ..ჶ)  GEORGIAN LETTER HE..GEORGIAN LETTER FI
10FB          ; restricted ; not in XID+                                              #      (჻)  GEORGIAN PARAGRAPH SEPARATOR
1100..1159    ; restricted ; archaic (used for ancient Hangul)                        # [90] (ᄀ..ᅙ)  HANGUL CHOSEONG KIYEOK..HANGUL CHOSEONG YEORINHIEUH
115A..115E    ; restricted ; archaic (used for ancient Hangul)                        #  [5] (U+115A..U+115E)  <reserved-115A>..<reserved-115E>
115F..1160    ; restricted ; default-ignorable                                        #  [2] (U+115F..U+1160)  HANGUL CHOSEONG FILLER..HANGUL JUNGSEONG FILLER
1161..11A2    ; restricted ; archaic (used for ancient Hangul)                        # [66] (ᅡ..ᆢ)  HANGUL JUNGSEONG A..HANGUL JUNGSEONG SSANGARAEA
11A3..11A7    ; restricted ; archaic (used for ancient Hangul)                        #  [5] (U+11A3..U+11A7)  <reserved-11A3>..<reserved-11A7>
11A8..11F9    ; restricted ; archaic (used for ancient Hangul)                        # [82] (ᆨ..ᇹ)  HANGUL JONGSEONG KIYEOK..HANGUL JONGSEONG YEORINHIEUH
11FA..11FF    ; restricted ; archaic (used for ancient Hangul)                        #  [6] (U+11FA..U+11FF)  <reserved-11FA>..<reserved-11FF>
1361..1368    ; restricted ; not in XID+                                              #  [8] (፡..፨)  ETHIOPIC WORDSPACE..ETHIOPIC PARAGRAPH SEPARATOR
1372..137C    ; restricted ; not in XID+                                              # [11] (፲..፼)  ETHIOPIC NUMBER TEN..ETHIOPIC NUMBER TEN THOUSAND
166D..166E    ; restricted ; not in XID+                                              #  [2] (᙭..᙮)  CANADIAN SYLLABICS CHI SIGN..CANADIAN SYLLABICS FULL STOP
1680..169A    ; restricted ; archaic script                                           # [27] (U+1680..ᚚ)  OGHAM SPACE MARK..OGHAM LETTER PEITH
169B..169C    ; restricted ; not in XID+                                              #  [2] (᚛..᚜)  OGHAM FEATHER MARK..OGHAM REVERSED FEATHER MARK
16A0..16EA    ; restricted ; archaic script                                           # [75] (ᚠ..ᛪ)  RUNIC LETTER FEHU FEOH FE F..RUNIC LETTER X
16EB..16ED    ; restricted ; not in XID+                                              #  [3] (᛫..᛭)  RUNIC SINGLE PUNCTUATION..RUNIC CROSS PUNCTUATION
16EE..16F0    ; restricted ; archaic script                                           #  [3] (ᛮ..ᛰ)  RUNIC ARLAUG SYMBOL..RUNIC BELGTHOR SYMBOL
1700..170C    ; restricted ; archaic script                                           # [13] (ᜀ..ᜌ)  TAGALOG LETTER A..TAGALOG LETTER YA
170E..1714    ; restricted ; archaic script                                           #  [7] (ᜎ..᜔)  TAGALOG LETTER LA..TAGALOG SIGN VIRAMA
1720..1734    ; restricted ; archaic script                                           # [21] (ᜠ..᜴)  HANUNOO LETTER A..HANUNOO SIGN PAMUDPOD
1735..1736    ; restricted ; not in XID+                                              #  [2] (᜵..᜶)  PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DOUBLE PUNCTUATION
1740..1753    ; restricted ; archaic script                                           # [20] (ᝀ..ᝓ)  BUHID LETTER A..BUHID VOWEL SIGN U
1760..176C    ; restricted ; archaic script                                           # [13] (ᝠ..ᝬ)  TAGBANWA LETTER A..TAGBANWA LETTER YA
176E..1770    ; restricted ; archaic script                                           #  [3] (ᝮ..ᝰ)  TAGBANWA LETTER LA..TAGBANWA LETTER SA
1772..1773    ; restricted ; archaic script                                           #  [2] (ᝲ..ᝳ)  TAGBANWA VOWEL SIGN I..TAGBANWA VOWEL SIGN U
17A3..17A4    ; restricted ; deprecated or discouraged                                #  [2] (ឣ..ឤ)  KHMER INDEPENDENT VOWEL QAQ..KHMER INDEPENDENT VOWEL QAA
17A8          ; restricted ; archaic ligature for the sequence 17A7 1780              #      (ឨ)  KHMER INDEPENDENT VOWEL QUK
17B4..17B5    ; restricted ; not in XID+                                              #  [2] (U+17B4..U+17B5)  KHMER VOWEL INHERENT AQ..KHMER VOWEL INHERENT AA
17D1          ; restricted ; mostly obsolete                                          #      (៑)  KHMER SIGN VIRIAM
17D3          ; restricted ; deprecated or discouraged                                #      (៓)  KHMER SIGN BATHAMASAT
17D4..17D6    ; restricted ; not in XID+                                              #  [3] (។..៖)  KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D8..17DB    ; restricted ; not in XID+                                              #  [4] (៘..៛)  KHMER SIGN BEYYAL..KHMER CURRENCY SYMBOL RIEL
17DD          ; restricted ; mostly obsolete                                          #      (៝)  KHMER SIGN ATTHACAN
1800..1805    ; restricted ; not in XID+                                              #  [6] (᠀..᠅)  MONGOLIAN BIRGA..MONGOLIAN FOUR DOTS
1807..180A    ; restricted ; not in XID+                                              #  [4] (᠇..᠊)  MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER..MONGOLIAN NIRUGU
180B..180D    ; restricted ; default-ignorable                                        #  [3] (U+180B..U+180D)  MONGOLIAN FREE VARIATION SELECTOR ONE..MONGOLIAN FREE VARIATION SELECTOR THREE
1B00..1B4B    ; restricted ; archaic script                                           # [76] (ᬀ..ᭋ)  BALINESE SIGN ULU RICEM..BALINESE LETTER ASYURA SASAK
1B50..1B7C    ; restricted ; archaic script                                           # [45] (᭐..᭼)  BALINESE DIGIT ZERO..BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING
1D00..1DBF    ; restricted ; non-IPA phonetics                                        # [192] (ᴀ..ᶿ)  LATIN LETTER SMALL CAPITAL A..MODIFIER LETTER SMALL THETA
1DC0..1DC3    ; restricted ; archaic                                                  #  [4] (᷀..᷃)  COMBINING DOTTED GRAVE ACCENT..COMBINING SUSPENSION MARK
200B..200F    ; restricted ; default-ignorable                                        #  [5] (U+200B..U+200F)  ZERO WIDTH SPACE..RIGHT-TO-LEFT MARK
2010          ; restricted ; not in XID+                                              #      (‐)  HYPHEN
2012..2016    ; restricted ; not in XID+                                              #  [5] (‒..‖)  FIGURE DASH..DOUBLE VERTICAL LINE
2018..2023    ; restricted ; not in XID+                                              # [12] (‘..‣)  LEFT SINGLE QUOTATION MARK..TRIANGULAR BULLET
2027          ; restricted ; not in XID+                                              #      (‧)  HYPHENATION POINT
202A..202E    ; restricted ; default-ignorable                                        #  [5] (U+202A..U+202E)  LEFT-TO-RIGHT EMBEDDING..RIGHT-TO-LEFT OVERRIDE
2030..2032    ; restricted ; not in XID+                                              #  [3] (‰..′)  PER MILLE SIGN..PRIME
2035          ; restricted ; not in XID+                                              #      (‵)  REVERSED PRIME
2038..203B    ; restricted ; not in XID+                                              #  [4] (‸..※)  CARET..REFERENCE MARK
203D          ; restricted ; not in XID+                                              #      (‽)  INTERROBANG
203F..2040    ; restricted ; technical                                                #  [2] (‿..⁀)  UNDERTIE..CHARACTER TIE
2041..2046    ; restricted ; not in XID+                                              #  [6] (⁁..⁆)  CARET INSERTION POINT..RIGHT SQUARE BRACKET WITH QUILL
204A..2052    ; restricted ; not in XID+                                              #  [9] (⁊..⁒)  TIRONIAN SIGN ET..COMMERCIAL MINUS SIGN
2060..2063    ; restricted ; default-ignorable                                        #  [4] (U+2060..U+2063)  WORD JOINER..INVISIBLE SEPARATOR
206A..206F    ; restricted ; deprecated or discouraged                                #  [6] (U+206A..U+206F)  INHIBIT SYMMETRIC SWAPPING..NOMINAL DIGIT SHAPES
20A0..20A7    ; restricted ; not in XID+                                              #  [8] (₠..₧)  EURO-CURRENCY SIGN..PESETA SIGN
20A9..20B1    ; restricted ; not in XID+                                              #  [9] (₩..₱)  WON SIGN..PESO SIGN
20D0..20DC    ; restricted ; technical                                                # [13] (⃐..⃜)  COMBINING LEFT HARPOON ABOVE..COMBINING FOUR DOTS ABOVE
20DD..20E0    ; restricted ; not in XID+                                              #  [4] (⃝..⃠)  COMBINING ENCLOSING CIRCLE..COMBINING ENCLOSING CIRCLE BACKSLASH
20E1          ; restricted ; technical                                                #      (⃡)  COMBINING LEFT RIGHT ARROW ABOVE
20E2..20E4    ; restricted ; not in XID+                                              #  [3] (⃢..⃤)  COMBINING ENCLOSING SCREEN..COMBINING ENCLOSING UPWARD POINTING TRIANGLE
20E5..20EA    ; restricted ; technical                                                #  [6] (⃥..⃪)  COMBINING REVERSE SOLIDUS OVERLAY..COMBINING LEFTWARDS ARROW OVERLAY
2104          ; restricted ; not in XID+                                              #      (℄)  CENTRE LINE SYMBOL
2108          ; restricted ; not in XID+                                              #      (℈)  SCRUPLE
2114          ; restricted ; not in XID+                                              #      (℔)  L B BAR SYMBOL
2117          ; restricted ; not in XID+                                              #      (℗)  SOUND RECORDING COPYRIGHT
2118          ; restricted ; technical symbol (math)                                  #      (℘)  SCRIPT CAPITAL P
211E..211F    ; restricted ; not in XID+                                              #  [2] (℞..℟)  PRESCRIPTION TAKE..RESPONSE
2123          ; restricted ; not in XID+                                              #      (℣)  VERSICLE
2125          ; restricted ; not in XID+                                              #      (℥)  OUNCE SIGN
2127          ; restricted ; not in XID+                                              #      (℧)  INVERTED OHM SIGN
2129          ; restricted ; not in XID+                                              #      (℩)  TURNED GREEK SMALL LETTER IOTA
212E          ; restricted ; technical                                                #      (℮)  ESTIMATED SYMBOL
213A          ; restricted ; not in XID+                                              #      (℺)  ROTATED CAPITAL Q
2141..2144    ; restricted ; not in XID+                                              #  [4] (⅁..⅄)  TURNED SANS-SERIF CAPITAL G..TURNED SANS-SERIF CAPITAL Y
214A..214B    ; restricted ; not in XID+                                              #  [2] (⅊..⅋)  PROPERTY LINE..TURNED AMPERSAND
2180..2183    ; restricted ; presentation form                                        #  [4] (ↀ..Ↄ)  ROMAN NUMERAL ONE THOUSAND C D..ROMAN NUMERAL REVERSED ONE HUNDRED
2190..222B    ; restricted ; not in XID+                                              # [156] (←..∫)  LEFTWARDS ARROW..INTEGRAL
222E          ; restricted ; not in XID+                                              #      (∮)  CONTOUR INTEGRAL
2231..2328    ; restricted ; not in XID+                                              # [248] (∱..⌨)  CLOCKWISE INTEGRAL..KEYBOARD
2329..232A    ; restricted ; deprecated or discouraged                                #  [2] (〈..〉)  LEFT-POINTING ANGLE BRACKET..RIGHT-POINTING ANGLE BRACKET
232B..23CE    ; restricted ; not in XID+                                              # [164] (⌫..⏎)  ERASE TO THE LEFT..RETURN SYMBOL
2400..2426    ; restricted ; not in XID+                                              # [39] (␀..␦)  SYMBOL FOR NULL..SYMBOL FOR SUBSTITUTE FORM TWO
2440..244A    ; restricted ; not in XID+                                              # [11] (⑀..⑊)  OCR HOOK..OCR DOUBLE BACKSLASH
2460..24EA    ; restricted ; presentation form                                        # [139] (①..⓪)  CIRCLED DIGIT ONE..CIRCLED DIGIT ZERO
24EB..24FE    ; restricted ; not in XID+                                              # [20] (⓫..⓾)  NEGATIVE CIRCLED NUMBER ELEVEN..DOUBLE CIRCLED NUMBER TEN
24FF          ; restricted ; presentation form                                        #      (⓿)  NEGATIVE CIRCLED DIGIT ZERO
2500..2613    ; restricted ; not in XID+                                              # [276] (─..☓)  BOX DRAWINGS LIGHT HORIZONTAL..SALTIRE
2616..2617    ; restricted ; not in XID+                                              #  [2] (☖..☗)  WHITE SHOGI PIECE..BLACK SHOGI PIECE
2619..267D    ; restricted ; not in XID+                                              # [101] (☙..♽)  REVERSED ROTATED FLORAL HEART BULLET..PARTIALLY-RECYCLED PAPER SYMBOL
2680..2689    ; restricted ; not in XID+                                              # [10] (⚀..⚉)  DIE FACE-1..BLACK CIRCLE WITH TWO WHITE DOTS
2701..2704    ; restricted ; not in XID+                                              #  [4] (✁..✄)  UPPER BLADE SCISSORS..WHITE SCISSORS
2706..2709    ; restricted ; not in XID+                                              #  [4] (✆..✉)  TELEPHONE LOCATION SIGN..ENVELOPE
270C..2727    ; restricted ; not in XID+                                              # [28] (✌..✧)  VICTORY HAND..WHITE FOUR POINTED STAR
