#Doc №	Subject	Source	Date
L2/00-042	Changes to 10646-1 for PUA [UTC/2000-015]	Ken Whistler	2000-01-14
L2/00-043	APL Character Repertoire	SC22 N3067	1999-12-28
L2/00-044	Summary of FDAM voting: ISO 10646 Amendment 15: Kang Xi radicals and CJK radicals supplement	SC2 N3405	2000-01-31
L2/00-045	Summary of FDAM voting: ISO 10646 Amd. 28: Ideographic description characters	SC2 N3406	2000-01-31
L2/00-046	Summary of FDAM voting: ISO 10646 Amendment 29: Mongolian	SC2 N3407	2000-02-15
L2/00-047	Summary of FDAM voting: ISO 10646 Amd. 30: Additional Latin and other characters	SC2 N3408	2000-02-15
L2/00-048	Proposal for NAXI-Phonetic	Michael Everson	2000-02-15
L2/00-049	Proposal for compatibility ideographs in Plane 2 of ISO/IEC 10646-2 (replaced by L2/00-087)	Tseng, Shih-shyeng	2000-02-15
L2/00-050	Voting results and comments to ISO/IEC CD 2375	SC2 N3409	2000-02-21
L2/00-051	CEN ISSS workshop "ESR" on culturally specific ICT requirements	CWA/ESR:2000	2000-02-17
L2/00-052	Requirement of international domain names	IETF, James Seng	1972-01-01
L2/00-053	Peso – character samples (suppl. to L2/00-013)	Sato,  WG2 N2161	1972-01-01
L2/00-054	Row 0E – LAO  (collection 26)	Sato,  WG2 N2162	1972-01-01
L2/00-055	Soyombo and Pagba (old Mongol scripts)	Sato, WG2 N2163	1972-01-01
L2/00-056	10646-Amd.#25 (Khmer) correction request	Sato, WG2 N2164	1972-01-01
L2/00-057	Ng and ng of the Philippines	Sato, WG2 N2165	1972-01-01
L2/00-058	Proposal for a signature byte sequence for SCSU, updated at UTC#81 in San Jose, February 2000	Markus Scherer	2000-01-29
L2/00-059	JTC1 conversion tables [UTC/2000-010]	Martin Dürst	2000-01-27
L2/00-060	Reply to WG20 liaison statement to TC37 on ISO 639, parts 1 and 2	ISO 639 JAC	2000-02-22
L2/00-061	Proposal to add Latin combining characters to support Middle High German (20+MB, link to WG2 N2160) (Smaller version, fewer examples L2/00-061-mini)	Mark Küster	2000-02-16
L2/00-062	Revised agenda for the SC2/WG2 meeting in Beijing (link to WG2 N2155R)	Mike Ksar	2000-02-23
L2/00-063	US comments on publishing ISO/IEC 10646-1 on the web – request for approval	Ed Hart, Mike Ksar	2000-02-25
L2/00-064	Voting result from DAM ballot for TR 10176	JTC1 N5991	2000-02-25
L2/00-065	Wave dash  [U-301C]	Sato, WG2 N2166	2000-01-04
L2/00-066	Technical justification of the proposal to amend the Korean character part of ISO/IEC 10646-1 and proposed addition of 79 symbolic characters (Glyphs incorrect!)	D.P.R. of Korea	2000-02-10
L2/00-067	Internationalization of Domain Name Service (DNS)	IETF	2000-02-28
L2/00-068	List of 10646 character names (alphabetical order)	Bruce Paterson,	2000-02-25
L2/00-069	Mappings between IEC 61286 and ISO 10646 Electro technical symbols	Per Åke Swensson	2000-02-25
L2/00-070	Final text of ISO/IEC 10646-1:2000 Basic Multilingual Plane (was linked to SC2 site, SC2 N3411)	Bruce Paterson	2000-03-02
L2/00-071	Table of replies on ISO/IEC 10646-1: 1993/FDAM 31: Tibetan Extensions	SC2 N3410	2000-03-02
L2/00-072	Summary of Voting on SC 2 N 3393, ISO/IEC CD 10646-2, Part 2: Secondary Multilingual Plane for scripts and symbols Supplementary Plane for CJK Ideographs Special Purpose Plane (831 kB)	SC2 N3412	2000-03-02
L2/00-073	Comments on DPRK New Work Item proposal on Korean characters	Kent Karlsson	2000-03-02
L2/00-074	Comments on ‘Math Alphanumeric’ characters for 10646-2	Kent Karlsson	2000-03-02
L2/00-075	Comments on ‘Language Tag’ characters for 10646-2, plane 14	Kent Karlsson	2000-03-02
L2/00-076	Ballot: John Hill as chair of SC22 (Biography)	Winkler (CT22)	2000-03-07
L2/00-077	Ballot:  Subcommittee O-Members participation in working group meetings	Winkler (CT22)	2000-03-08
L2/00-078	Implications of Normalization on Character Encoding (for addition to principles and procedures)	Mark Davis	2000-03-07
L2/00-079	Request for Technical Corrigendum to ISO 10646-1 to restrict the range of code positions to U-10FFFF	Mark Davis	2000-03-07
L2/00-080	Resolution 26 of the JTC 1 Seoul Plenary Meeting (JTC 1 5983) and Draft Agenda for the ISO/IEC JTC 1 SWG on Development of a Business Plan for Standards Availability (JTC 1 N 6041)		2000-03-07
L2/00-081	Proposal to encode Ethiopic Extensions in the BMP of ISO/IEC 10646 (was distributed as L2/98-300)	Ethiopia	1998-09-11
L2/00-082	Proposal to add 8 Cyrillic Sámi characters to ISO/IEC 10646		2000-03-03
L2/00-083	Comment on IEC 61286-2, Electrotechnical Symbols (536 kB)	Hugh McG Ross	2000-03-03
L2/00-084	DPRK NP - JTC1 5999 p 1-5, originally submitted as WG2 N2056 (for full document see L2/99-380)	DPRK	1999-12-07
L2/00-085	Irish Comments on SC 2 NSC 2 N 3393, CD 10646-2 Ireland 2000-03-07	NB Ireland	2000-03-07
L2/00-086	Resolutions of JTC 1 Special Group on Strategic Planning Meeting in Oslo, Feb. 22-24, 2000	JTC1 N3415	2000-03-07
L2/00-087	Proposal for compatibility ideographs (TCA) (in Plane 2 of ISO/IEC 10646-2) (711 kB)	Tseng, Shih-shyeng	2000-03-10
L2/00-088	Current SC2 programme of work	SC2 secretariat	2000-03-12
L2/00-089	Identification of decomposed characters in ISO/IEC 10646-1	Kolehmainen, Küster	2000-03-14
L2/00-090	Armenian comments and 3 attachments, AMST 34.001-99, 34.002-99, 10646-1 Armenian	L. H. Aslanyan	2000-03-14
L2/00-091	Additional information to the proposal to add 3 characters (WG2 N1887R = L2/98-374, attached)	Asmus Freytag	2000-03-14
L2/00-092	Proposal to add the German Penny symbol Reference document L2/98-309	Unicode, Freytag	2000-03-14
L2/00-093	Proposed disposition of comments to N3393, ISO/IEC 10646-2	Michel Suignard	2000-03-17
L2/00-094	Proposal for encoding additional mathematical symbols in the BMP	NB of the USA	2000-03-14
L2/00-095	South Korea’s comments on N2056 (L2/00-084)	G. Gim, K. Kim	2000-03-19
L2/00-096	Agenda for SC22/WG20 meeting in Beijing	Mike Ksar	2000-03-20
L2/00-097	Philippino characters (status report)	Sato, WG2 N2194	2000-02-22
L2/00-098	Rationale for non Kanji characters proposed by JCS committee [Page 5]	Japan	2000-03-15
L2/00-099	CJK compatibility ideographs	Japan	2000-03-15
L2/00-100	Proposal: TR 15285 amendments	Japan	2000-03-15
L2/00-101	Update: CJK compatibility update request	Japan	2000-03-15
L2/00-102	Requirements for coded elements (proposed addition of a new annex to ISO TR15285	Japan and MLIT	2000-03-13
L2/00-103	Why input assistance ? (A proposal to develop a new annex Y to ISO TR 15285	Kobayashi et al.	2000-03-15
L2/00-104	Revised Resolutions from the SC2/WG2 meeting in Beijing (code point errors corrected)	SC2/WG2 N2204R	2000-03-31
L2/00-105	Disposition of comments to ISO/IEC CD 10646-2	Michel Suignard	2000-03-23
L2/00-106	Note on the script name "Tibetan"	Orient Foundation	2000-01-31
L2/00-107	Liaison report from the Unicode consortium	SC2/WG2 N2209	1972-01-01
L2/00-108	Report from the SC2/WG 2 meeting in Beijing	Ken Whistler	1972-01-01
L2/00-109	Corrections to Khmer character tables in 10646 and Unicode	Michel Suignard	1972-01-01
L2/00-110	Text for FDIS ballot ISO/IEC 14651 – International string ordering (Template table)	Alain LaBonté	1972-01-01
L2/00-111	NCITS policies with impact on L2 work (archive)	NCITS IT/00-0023	1972-01-01
L2/00-112	Request of change to the proposal to add Etruscan to Unicode / ISO 10646	Michael Everson	2000-03-21
L2/00-113	Agenda UTC #83	Lisa Moore	2000-04-26
L2/00-114	Motions from UTC meeting #83	Lisa Moore	2000-05-07
L2/00-115	Minutes Of UTC Meeting #83	Lisa Moore	2000-05-07
L2/00-116	Agenda L2 #180 – Mountain View, April 28, 2000	Arnold Winkler	2000-04-28
L2/00-117	Minutes L2 #180 – Mountain View, April 28, 2000	Arnold Winkler	2000-04-28
L2/00-118	Parts of the Unicode Standard	Mark Davis; Ken Whistler	2000-04-05
L2/00-119	Proposal for mathematical symbols in 10646	SC2/WG2 N2191R	2000-04-19
L2/00-120	Proposal to add characters for use with Thaana Script (Divehi language)	Nelson, Beam, Gadir; SC2/WG2 N	2000-04-07
L2/00-121	Minutes from the WG2 meeting #37 in Copenhagen, September 1999 [same as L2/00-010]	Uma, SC2 N3425; SC2/WG2 N2103	2000-04-04
L2/00-122	Summary of voting on ISO 8859-16 – Latin No 10	SC2 N3419	2000-03-24
L2/00-123	Business plan for standards availability	SC2 N3423	2000-03-28
L2/00-124	Recommendations and meeting report from the SG for a business plan for standards availability	SC2 N3424	2000-03-24
L2/00-125	Summary of voting on JTC1 N5999 – Korean proposal with UK comments	SC2 N3421	2000-03-24
L2/00-126	Summary of voting on ISO/IEC CD 10646-2	SC2 N3412	2000-03-02
L2/00-127	Dates for the SC2 plenary and WG meetings in Greece, September 2000	SC2 N3430	2000-04-04
L2/00-128	Past scripts in future versions of Unicode	Carl-Martin Bunz	2000-03-01
L2/00-129	Standards development in XML format	Winkler	2000-04-01
L2/00-130	JPNddd vs. JIS 0213 mapping tables	Japan, T.K. Sato	2000-04-10
L2/00-131	Proposal for new "mirror.txt" file for mirrored characters (property)	Markus Scherer	2000-04-18
L2/00-132	Character normalization in IETF protocols	Martin Dürst	2000-03-01
L2/00-133	Altitalische Sprachen (Markus Dohnicht)	Marc Küster	2000-04-18
L2/00-134	Proposal to encode Urdu numbers to remove ambiguities	Paul Nelson	2000-04-07
L2/00-135	Proposal to add Urdu Epethit and Abbreviation Diacritics to the Arabic Block	Paul Nelson	2000-04-07
L2/00-136	Proposal to Facilitate Random Access of SCSU Strings	Peter Bishop	2000-04-15
L2/00-137	UTR #22 – character mapping tables	Mark Davis	2000-04-01
L2/00-138	Mapping aliases and display names	Mark Davis	2000-04-01
L2/00-139	Proposal to add another Unicode encoding form UTF-8-16 (R1)	Jianping Yang; Toby Phillips	2000-04-24
L2/00-140	Proposal for Old-Italic (Archaic European Scripts)	Everson, Jenkins, ; de Judicibus	2000-04-21
L2/00-141	Proposed changes to UTR #10 – Collation	Davis, Whistler	2000-04-24
L2/00-142	Code for the representation of names of scripts	Everson; ISO DIS 15924	2000-04-25
L2/00-143	Proposed informative data file: Scripts	Mark Davis	2000-04-27
L2/00-144	Encoding Vedic Accents (draft)	Everson	2000-04-22
L2/00-145	UTR #20: Unicode in XML and other markup languages (3)	W3C working draft; Unicode	1999-09-26
L2/00-146	More information on Compatibility Ideographs	T.K. Sato	2000-04-21
L2/00-147	Beyond the request of JIS Compatibility Ideographs	T.K. Sato	2000-04-21
L2/00-148	Let a Thousand Grasses bloom	Ken Whistler	2000-03-31
L2/00-149	Rule Making on access for disabled persons to IT	Federal Register	2000-04-01
L2/00-150	Proposal for Unique Sequence Identifiers (USI) and repertoire specifications including these USIs (R2)	Umamaheswaran; SC2/WG2 N2230	2000-07-27
L2/00-151	Proposal to change glyph shape for U+066C ARABIC THOUSAND SEPARATOR	Nelson, Hijazi, Copty	2000-04-07
L2/00-152	NTT DoCoMo Pictographs	Graham Asher	2000-04-26
L2/00-153	Further comments on historic scripts	Carl-Martin Bunz	2000-04-26
L2/00-154	Suggested clarification for TR #9	Asmus Freytag	2000-04-26
L2/00-155	Letter to Indian Government and Everson about the proposed coding of Vedic	Lisa Moore	2000-05-31
L2/00-156	Zero width grapheme joiner	Mark Davis	2000-04-30
L2/00-157	Proposed changes in UTR #10 – Collation	Kent Karlsson	2000-04-25
L2/00-158	UTR #21 – Case folding	Mark Davis	1999-11-03
L2/00-159	Supplemental terminal graphics for Unicode	Frank da Cruz	2000-03-31
L2/00-160	Overview of access requirements for disabled persons to Information Technology	Arnold Winkler	2000-04-18
L2/00-161	Updated version of UTR#22 on character mapping according to directions from the UTC meeting	Mark Davis	2000-05-08
L2/00-162	Text for FCD ballot of ISO 6937	SC2 N3437	2000-05-09
L2/00-163	Disposition of comments on ballot for WD 6937	SC2 N3436	2000-05-09
L2/00-164	Rendering Serbian italic forms with OpenType (343 kB)	John Hudson	2000-05-01
L2/00-165	Report from the ISO/TC46 meeting in Berlin	Joan Aliprand	2000-05-01
L2/00-166	Revised JTC1 business plan for standards availability	JTC1 N6149	2000-05-09
L2/00-167	Application for registration #230 – Turkmen Alphabet	SC2 N3438	2000-05-12
L2/00-168	Disposition of comments on CD ballot or ISO/IEC 10646-2 (SC2 N3393)	Michel Suignard; SC2 N3441	2000-05-19
L2/00-169	Text for FCD ballot of ISO/IEC 10646-2 (includes correction pages) (~ 25 MB)	Michel Suignard; SC2 N3442	2000-05-19
L2/00-170	Annual report 2000 to NCITS	Arnold Winkler	2000-06-01
L2/00-171	Meeting information for SC2/WG2 meeting in Athens, Greece (hotel reservation, meeting logistics, meeting registration form)	Mike Ksar	2000-05-30
L2/00-172	JIS COMPATIBILITY IDEOGRAPHS (draft for amendment-1)	T.K. Sato; SC2/WG2 N2221	2000-04-20
L2/00-173	Request for subdivision of work for first amendment to ISO/IEC 10646-1:2000	Mike Ksar; SC2/WG2 N2225	2000-05-25
L2/00-174	Repertoire additions for ISO/IEC 10646-1 2nd Edition - Cumulative List No.1	Bruce Paterson; SC2/WG2 N2226	2000-05-12
L2/00-175	Notice and preliminary agenda for SC2/WG2 meeting in Athens, September 2000	Mike Ksar; SC2/WG2 N2220	2000-05-29
L2/00-176	Some Türkmen alphabets	Michael Everson	2000-06-01
L2/00-177	Liaison report from CEN/TC304 to SC2 and its working groups WG2 and WG3	Erkki Kolehmainen; SC2/WG2 N2227	2000-06-02
L2/00-178	Proposal: Encoding Vedic Accents	Michael Everson	2000-04-22
L2/00-179	Ireland’s draft comments to Western Music Symbols in ISO/IEC 10646-2	Michael Everson	2000-06-08
L2/00-180	Proposal for project subdivision of 10646-1:2000	SC2 N3449	2000-05-30
L2/00-181	Modifications to the SC 2 Program of Work	JTC1 N6181	2000-06-05
L2/00-182	Archaic Komi Cyrillic characters for the BMP of the UCS	Michael Everson; SC2/WG2 N2224	2000-06-09
L2/00-183	Draft PDAM for Amendment 1 to ISO/IEC 10646-1:2000	Bruce Paterson; SC2/WG2 N2228	2000-06-09
L2/00-184	A Review of Some Possible Problems with SQL character features	J. M. Sykes (UK); SC32/WG3 BHX-080	2000-06-08
L2/00-185	UTC agenda - Boston, August 8-11, 2000	Lisa Moore	2000-07-24
L2/00-186	UTC motions – Boston, August 8-11, 2000	Lisa Moore	2000-08-23
L2/00-187	UTC minutes – Boston, August 8-11, 2000	Lisa Moore	2000-08-23
L2/00-188	L2 agenda – Boston, August 8-11, 2000	Arnold Winkler	2000-07-05
L2/00-189	L2 minutes – Boston, August 8-11, 2000	Arnold Winkler	2000-08-11
L2/00-190	UTC Rescinds Acceptance of Four Duplicate Radicals from JIS X 213	Lisa Moore	2000-06-22
L2/00-191	Normalization and case folding for identifiers	Asmus Freytag	2000-06-20
L2/00-192	Resolutions from WG20 meeting in Québec, May 22-24, 2000	Arnold Winkler; WG20 N748	2000-05-24
L2/00-193	Minutes from the WG20 meeting in Québec, May 22-24, 2000	Arnold Winkler ; WG20 N749	2000-05-26
L2/00-194	SC22/WG20 Convenor’s report to SC22	Arnold Winkler; WG20 N751	2000-06-29
L2/00-195	Current version of W3C / Unicode document on the use of Unicode in XML	Dürst, Freytag	2000-06-23
L2/00-196	ISO 1073-1:1976 – Character set OCR-A ; and re-affirmation questionnaire (paper only)	Winkler	2000-06-23
L2/00-197	ISO 1154 – Dimensions and location of feed holes and code holes; with re-affirmation questionnaire (paper only)	Winkler	2000-06-23
L2/00-198	ISO 1681 – Specification of unpunched paper cards; and re-affirmation questionnaire (paper only)	Winkler	2000-06-23
L2/00-199	ISO 1831 - Printing specifications for OCR; with re-affirmation questionnaire (paper only)	Winkler	2000-06-23
L2/00-200	Proposal to formally define a number of folding operations	Asmus Freytag	2000-06-23
L2/00-201	E-mail a huge hit among Japanese cell-phone users	Freytag: Seattle Post-Intelligencer	2000-06-12
L2/00-202	Resolutions from the JTC1 special group meeting on strategic planning in Zurich, June 19-21, 2000	JTC1 special group on strategic planning; JTC1 N6205	2000-06-21
L2/00-203	Resolutions from the IRG meeting #15	SC2/WG2 N2229	2000-06-23
L2/00-204	DUTR #20 – Unicode in XML	Dürst, Freytag	2000-06-23
L2/00-205	Informal report about the 2000 meeting of ISO/TC46/SC4/WG1 in Berlin, May 9, 2000	Joan Aliprand	2000-06-26
L2/00-206	Participation in JTC 1 Development Activities	JTC1 N6206	2000-06-26
L2/00-207	Request for Input on Participation in JTC 1 Development Activities	JTC1 N6207	2000-06-26
L2/00-208	Request for Input on Proposed Changes to JTC 1 Structure	JTC1 N6208	2000-06-26
L2/00-209	Request for Input on Funding the JTC 1 Program	JTC1 N6209	2000-06-26
L2/00-210	Request for Input on Maintenance Teams Ref.: JTC1 N5911, JTC1 N6182	JTC1 N6210	2000-06-26
L2/00-211	JTC 1 Long-term Business Plan	JTC1 N6211	2000-06-28
L2/00-212	Text for DCOR #1 ballot for ISO 10367	SC2/WG3 N494	2000-01-19
L2/00-213	Draft agenda for SC2 – Athens, Sep. 25-26, 2000	SC2 N3447	2000-05-29
L2/00-214	Notice and draft agenda WG20 – Oct. 30 – Nov. 1	WG20 N763	2000-06-30
L2/00-215	Preparation of Internationalized Host Names	Marc Blanchet; IETF	2000-07-03
L2/00-216	Internationalized domain names using EDNS (IDNE)	Paul Hoffman; IETF	2000-07-05
L2/00-217	Requirements of Internationalized Domain Names	IETF	2000-06-28
L2/00-218	WAP International pictogram specifications (draft)	WAP	2000-07-09
L2/00-219	The case of the Cyrillic letter PALOCHKA	Everson	2000-07-09
L2/00-220	Finalized Mapping between Characters of ISO 5426 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-221	Finalized Mapping between Characters of ISO 5427 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-222	Finalized Mapping between Characters of ISO 5428 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-223	Finalized Mapping between Characters of ISO 6438 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-224	Finalized Mapping between Characters of ISO 6862 – Table 1 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-225	Finalized Mapping between Characters of ISO 6862 – Table 2 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-226	Finalized Mapping between Characters of ISO 10585 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-227	Finalized Mapping between Characters of ISO 10586 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-228	Finalized Mapping between Characters of ISO 11822 and ISO/IEC 10646-1 (UCS)	Joan Aliprand; RLG	2000-07-02
L2/00-229	Letter from DPRK on ISO 10646	DPRK	2000-07-05
L2/00-230	ISO/IEC 10646-1 2nd Edition: Editorial Corrigenda Cumulative List	Bruce Paterson; SC2/WG2 N2232	2000-07-18
L2/00-231	2nd Call WG2 Meeting # 39, in Athens, 19 to 25 September 2000.	Mike Ksar; SC2/WG2 N2233	2000-07-18
L2/00-232	More information needed for COMPATIBILITY IDEOGRAPHS ?	T.K. Sato, Japan; SC2/WG2 N2222	2000-04-21
L2/00-233	Beyond the request of JIS COMPATIBILITY IDEOGRAPHS	T.K. Sato, Japan; SC2/WG2 N2223	2000-04-21
L2/00-234	Minutes from the SC2/WG2 meeting in Beijing, 2000-03-21 - 24	Umamaheswaran; SC2/WG2 N2203	2000-07-21
L2/00-235	Cumulative list of action items from the SC2/WG2  meeting in Beijing, 2000-03-21 – 24.	Umamaheswaran; SC2/WG2 N2203	2000-07-21
L2/00-236	Bidi Mirroring - proposal	Markus Scherer	2000-07-26
L2/00-237	Normalization Conformance Test Suite	Mark Davis	2000-07-27
L2/00-238	UTC Comments on 10646-2	Lisa Moore, UTC	2000-07-28
L2/00-239	Mathematical Letter Symbols	Mark Davis	2000-07-07
L2/00-240	UTC Agenda item: Mathematical Letter Symbols	Ken Whistler	2000-07-07
L2/00-241	Proposed working draft UTR #23 (rev. 0d3) Character property model	Asmus Freytag; Ken Whistler	2000-07-17
L2/00-242	Confirmation of registration #229 – JISC, Plane 2 (was linked to ISO-IR/229.pdf)	RA 2375	2000-07-31
L2/00-243	Confirmation of registration #228 – JISC, Plane 1 (was linked to ISO-IR/228.pdf)	RA 2375	2000-07-31
L2/00-244	Draft agenda for SC2/WG3 in Athens, September  18-19, 2000	E. Melagrakis; SC2 N3460	2000-07-17
L2/00-245	Comments on JTC1 documents L2/00-207 through L2/00-210 (JTC1 N6207-N6210)	L2, Whistler	2000-08-10
L2/00-246	Feedback on Old Italic (L2/00-140)	Deborah Anderson	2000-08-01
L2/00-247	Addendum to Old Italic feedback in L2/00-246	Deborah Anderson	2000-08-02
L2/00-248	Character encoding mappings and related files	Kent Karlsson	2000-08-03
L2/00-249	Comments on "Mathematical Letter Symbols"	Kent Karlsson	2000-08-03
L2/00-250	Concerns about "Mathematical Letter Symbols"	Mark Davis	2000-08-03
L2/00-251	Discussing contributions from Karlsson and Davis regarding "Mathematical Letter Symbols"	Ken Whistler	2000-08-03
L2/00-252	Unicode Locale in Linux - status	LI18NUX	2000-08-04
L2/00-253	Minutes from the NCITS/H2 meeting	H2-2000-314	2000-06-19
L2/00-254	Report about the Unicode meeting with IETF	Rick McGowan	2000-08-07
L2/00-255	Name list for repertoire additions to 3.0.1	Ken Whistler	2000-08-30
L2/00-256	In-process private use characters	Michel Suignard	2000-08-08
L2/00-257	Proposal for extended U+ notation (WG 2 N2334)	Mark Davis; N2234	2000-08-09
L2/00-258	Proposal for addition of ZERO WIDTH WORD JOINER (WG2 N2335)	Mark Davis ; SC2/WG2 N2235	2000-08-09
L2/00-259	Meetei Mayek script sample from http://arbornet.org/~prava/eeyek/	Asmus Freytag	2000-08-09
L2/00-260	Unicode identifiers: an SQL example	Gary Roberts	2000-08-08
L2/00-261	Proposed UTR #25 – Character foldings	Asmus Freytag	2000-08-08
L2/00-262	Proposed UTR #26 – Handling surrogates	Andrew Hodgson	2000-08-08
L2/00-263	Normalizer quick check data file	Mark Davis	2000-08-08
L2/00-264	Editorial Corrigendum – C1 controls, position 84	Umamaheswaran	2000-08-09
L2/00-265	Notes on transfer of responsibility for OCR-B standards (for SC2/WG3)	K.I. Larsson	2000-08-08
L2/00-266	UTR #20 – Unicode in XML and other markup languages (also W3C draft)	Asmus Freytag	2000-08-10
L2/00-267	IDN divided by character key	Jang, Ind; IETF	2000-08-08
L2/00-268	Unicode policies (draft, see L2/00-279 final version)	Mark Davis	2000-08-11
L2/00-269	Unicode Technical Reports – explanation	Mark Davis	2000-08-10
L2/00-270	ISO/IEC 10646-2 FCD: Comments on TCA CJK compatibility	Michel Suignard	2000-08-08
L2/00-271	A few remarks concerning objections to the math alphanumerics	Murray Sargent	2000-08-11
L2/00-272	US comments to FCD ballot of ISO/IEC 10646-2	Michel Suignard; SC2/WG2 N2237	2000-08-23
L2/00-273	US comments on registration #230 – Turkmen	Uma, L2	2000-08-11
L2/00-274	Proposal for addition of COMBINING GRAPHEME JOINER	Mark Davis; SC2/WG2 N2236	2000-08-09
L2/00-275	Proposed UTR #24 – Script codes	Mark Davis	2000-05-18
L2/00-276	Additional ISO/IEC 10646-1 2nd Edition: Editorial Corrigenda	Unicode; SC2/WG2 N2238	2000-08-15
L2/00-277	Secretariat Report to the Tenth Plenary of ISO/IEC JTC 1/SC 2, 2000-09-25/26, Athens, Greece	SC2 N3462	2000-08-21
L2/00-278	Revised Draft Agenda for the Plenary of ISO/IEC JTC 1/SC 2, 2000-09-25/26, Athens, Greece	SC2 N3463	2000-08-21
L2/00-279	Unicode policies (final)	Mark Davis	2000-08-22
L2/00-280	Math alphanumerics and MathML: A challenge	Ken Whistler	2000-08-22
L2/00-281	Proposal for encoding Dehong Dai script on BMP of ISO/IEC 10646	China; SC2/WG2 N2239	2000-08-08
