#Code	Age	GC	DT	Name	N4M	Trial	NFKCCF	UCA	Δ	Δ	Δ	N4M Hex	Trial Hex	NFKCCF Hex	UCA Hex	Trial Reasons
'24A5	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER J	'⒥	'(j)	'(j)	'(j)	Tr≠N4M			'24A5	'0028 006A 0029	'0028 006A 0029	'0028 006A 0029	16. NFKC_CF-Compat
'24A6	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER K	'⒦	'(k)	'(k)	'(k)	Tr≠N4M			'24A6	'0028 006B 0029	'0028 006B 0029	'0028 006B 0029	16. NFKC_CF-Compat
'24A7	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER L	'⒧	'(l)	'(l)	'(l)	Tr≠N4M			'24A7	'0028 006C 0029	'0028 006C 0029	'0028 006C 0029	16. NFKC_CF-Compat
'24A8	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER M	'⒨	'(m)	'(m)	'(m)	Tr≠N4M			'24A8	'0028 006D 0029	'0028 006D 0029	'0028 006D 0029	16. NFKC_CF-Compat
'24A9	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER N	'⒩	'(n)	'(n)	'(n)	Tr≠N4M			'24A9	'0028 006E 0029	'0028 006E 0029	'0028 006E 0029	16. NFKC_CF-Compat
'24AA	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER O	'⒪	'(o)	'(o)	'(o)	Tr≠N4M			'24AA	'0028 006F 0029	'0028 006F 0029	'0028 006F 0029	16. NFKC_CF-Compat
'24AB	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER P	'⒫	'(p)	'(p)	'(p)	Tr≠N4M			'24AB	'0028 0070 0029	'0028 0070 0029	'0028 0070 0029	16. NFKC_CF-Compat
'24AC	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER Q	'⒬	'(q)	'(q)	'(q)	Tr≠N4M			'24AC	'0028 0071 0029	'0028 0071 0029	'0028 0071 0029	16. NFKC_CF-Compat
'24AD	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER R	'⒭	'(r)	'(r)	'(r)	Tr≠N4M			'24AD	'0028 0072 0029	'0028 0072 0029	'0028 0072 0029	16. NFKC_CF-Compat
'24AE	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER S	'⒮	'(s)	'(s)	'(s)	Tr≠N4M			'24AE	'0028 0073 0029	'0028 0073 0029	'0028 0073 0029	16. NFKC_CF-Compat
'24AF	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER T	'⒯	'(t)	'(t)	'(t)	Tr≠N4M			'24AF	'0028 0074 0029	'0028 0074 0029	'0028 0074 0029	16. NFKC_CF-Compat
'24B0	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER U	'⒰	'(u)	'(u)	'(u)	Tr≠N4M			'24B0	'0028 0075 0029	'0028 0075 0029	'0028 0075 0029	16. NFKC_CF-Compat
'24B1	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER V	'⒱	'(v)	'(v)	'(v)	Tr≠N4M			'24B1	'0028 0076 0029	'0028 0076 0029	'0028 0076 0029	16. NFKC_CF-Compat
'24B2	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER W	'⒲	'(w)	'(w)	'(w)	Tr≠N4M			'24B2	'0028 0077 0029	'0028 0077 0029	'0028 0077 0029	16. NFKC_CF-Compat
'24B3	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER X	'⒳	'(x)	'(x)	'(x)	Tr≠N4M			'24B3	'0028 0078 0029	'0028 0078 0029	'0028 0078 0029	16. NFKC_CF-Compat
'24B4	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER Y	'⒴	'(y)	'(y)	'(y)	Tr≠N4M			'24B4	'0028 0079 0029	'0028 0079 0029	'0028 0079 0029	16. NFKC_CF-Compat
'24B5	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER Z	'⒵	'(z)	'(z)	'(z)	Tr≠N4M			'24B5	'0028 007A 0029	'0028 007A 0029	'0028 007A 0029	16. NFKC_CF-Compat
'2E9F	'3.0	'So	'Com	CJK RADICAL MOTHER	'⺟	'母	'母	'母	Tr≠N4M			'2E9F	'6BCD	'6BCD	'6BCD	16. NFKC_CF-Compat
'2EF3	'3.0	'So	'Com	CJK RADICAL C-SIMPLIFIED TURTLE	'⻳	'龟	'龟	'龟	Tr≠N4M			'2EF3	'9F9F	'9F9F	'9F9F	16. NFKC_CF-Compat
'2F00	'3.0	'So	'Com	KANGXI RADICAL ONE	'⼀	'一	'一	'一	Tr≠N4M			'2F00	'4E00	'4E00	'4E00	16. NFKC_CF-Compat
'2F01	'3.0	'So	'Com	KANGXI RADICAL LINE	'⼁	'丨	'丨	'丨	Tr≠N4M			'2F01	'4E28	'4E28	'4E28	16. NFKC_CF-Compat
'2F02	'3.0	'So	'Com	KANGXI RADICAL DOT	'⼂	'丶	'丶	'丶	Tr≠N4M			'2F02	'4E36	'4E36	'4E36	16. NFKC_CF-Compat
'2F03	'3.0	'So	'Com	KANGXI RADICAL SLASH	'⼃	'丿	'丿	'丿	Tr≠N4M			'2F03	'4E3F	'4E3F	'4E3F	16. NFKC_CF-Compat
'2F04	'3.0	'So	'Com	KANGXI RADICAL SECOND	'⼄	'乙	'乙	'乙	Tr≠N4M			'2F04	'4E59	'4E59	'4E59	16. NFKC_CF-Compat
'2F05	'3.0	'So	'Com	KANGXI RADICAL HOOK	'⼅	'亅	'亅	'亅	Tr≠N4M			'2F05	'4E85	'4E85	'4E85	16. NFKC_CF-Compat
'2F06	'3.0	'So	'Com	KANGXI RADICAL TWO	'⼆	'二	'二	'二	Tr≠N4M			'2F06	'4E8C	'4E8C	'4E8C	16. NFKC_CF-Compat
'2F07	'3.0	'So	'Com	KANGXI RADICAL LID	'⼇	'亠	'亠	'亠	Tr≠N4M			'2F07	'4EA0	'4EA0	'4EA0	16. NFKC_CF-Compat
'2F08	'3.0	'So	'Com	KANGXI RADICAL MAN	'⼈	'人	'人	'人	Tr≠N4M			'2F08	'4EBA	'4EBA	'4EBA	16. NFKC_CF-Compat
'2F09	'3.0	'So	'Com	KANGXI RADICAL LEGS	'⼉	'儿	'儿	'儿	Tr≠N4M			'2F09	'513F	'513F	'513F	16. NFKC_CF-Compat
'2F0A	'3.0	'So	'Com	KANGXI RADICAL ENTER	'⼊	'入	'入	'入	Tr≠N4M			'2F0A	'5165	'5165	'5165	16. NFKC_CF-Compat
'2F0B	'3.0	'So	'Com	KANGXI RADICAL EIGHT	'⼋	'八	'八	'八	Tr≠N4M			'2F0B	'516B	'516B	'516B	16. NFKC_CF-Compat
'2F0C	'3.0	'So	'Com	KANGXI RADICAL DOWN BOX	'⼌	'冂	'冂	'冂	Tr≠N4M			'2F0C	'5182	'5182	'5182	16. NFKC_CF-Compat
'2F0D	'3.0	'So	'Com	KANGXI RADICAL COVER	'⼍	'冖	'冖	'冖	Tr≠N4M			'2F0D	'5196	'5196	'5196	16. NFKC_CF-Compat
'2F0E	'3.0	'So	'Com	KANGXI RADICAL ICE	'⼎	'冫	'冫	'冫	Tr≠N4M			'2F0E	'51AB	'51AB	'51AB	16. NFKC_CF-Compat
'2F0F	'3.0	'So	'Com	KANGXI RADICAL TABLE	'⼏	'几	'几	'几	Tr≠N4M			'2F0F	'51E0	'51E0	'51E0	16. NFKC_CF-Compat
'2F10	'3.0	'So	'Com	KANGXI RADICAL OPEN BOX	'⼐	'凵	'凵	'凵	Tr≠N4M			'2F10	'51F5	'51F5	'51F5	16. NFKC_CF-Compat
'2F11	'3.0	'So	'Com	KANGXI RADICAL KNIFE	'⼑	'刀	'刀	'刀	Tr≠N4M			'2F11	'5200	'5200	'5200	16. NFKC_CF-Compat
'2F12	'3.0	'So	'Com	KANGXI RADICAL POWER	'⼒	'力	'力	'力	Tr≠N4M			'2F12	'529B	'529B	'529B	16. NFKC_CF-Compat
'2F13	'3.0	'So	'Com	KANGXI RADICAL WRAP	'⼓	'勹	'勹	'勹	Tr≠N4M			'2F13	'52F9	'52F9	'52F9	16. NFKC_CF-Compat
'2F14	'3.0	'So	'Com	KANGXI RADICAL SPOON	'⼔	'匕	'匕	'匕	Tr≠N4M			'2F14	'5315	'5315	'5315	16. NFKC_CF-Compat
'2F15	'3.0	'So	'Com	KANGXI RADICAL RIGHT OPEN BOX	'⼕	'匚	'匚	'匚	Tr≠N4M			'2F15	'531A	'531A	'531A	16. NFKC_CF-Compat
'2F16	'3.0	'So	'Com	KANGXI RADICAL HIDING ENCLOSURE	'⼖	'匸	'匸	'匸	Tr≠N4M			'2F16	'5338	'5338	'5338	16. NFKC_CF-Compat
