# Cases where N4M differs from XNFKCCF
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=04+. digraph

1EFA;	1EFB;	006C 006C;	04+. digraph	 # ( Ỻ → ỻ )	LATIN CAPITAL LETTER MIDDLE-WELSH LL → LATIN SMALL LETTER MIDDLE-WELSH LL
328D;	328D;	6728;	16. NFKC_CF-Circle	 # ( ㊍ → ㊍ )	CIRCLED IDEOGRAPH WOOD → CIRCLED IDEOGRAPH WOOD
328E;	328E;	91D1;	16. NFKC_CF-Circle	 # ( ㊎ → ㊎ )	CIRCLED IDEOGRAPH METAL → CIRCLED IDEOGRAPH METAL
328F;	328F;	571F;	16. NFKC_CF-Circle	 # ( ㊏ → ㊏ )	CIRCLED IDEOGRAPH EARTH → CIRCLED IDEOGRAPH EARTH
3290;	3290;	65E5;	16. NFKC_CF-Circle	 # ( ㊐ → ㊐ )	CIRCLED IDEOGRAPH SUN → CIRCLED IDEOGRAPH SUN
3291;	3291;	682A;	16. NFKC_CF-Circle	 # ( ㊑ → ㊑ )	CIRCLED IDEOGRAPH STOCK → CIRCLED IDEOGRAPH STOCK
3292;	3292;	6709;	16. NFKC_CF-Circle	 # ( ㊒ → ㊒ )	CIRCLED IDEOGRAPH HAVE → CIRCLED IDEOGRAPH HAVE
3293;	3293;	793E;	16. NFKC_CF-Circle	 # ( ㊓ → ㊓ )	CIRCLED IDEOGRAPH SOCIETY → CIRCLED IDEOGRAPH SOCIETY
3294;	3294;	540D;	16. NFKC_CF-Circle	 # ( ㊔ → ㊔ )	CIRCLED IDEOGRAPH NAME → CIRCLED IDEOGRAPH NAME
3295;	3295;	7279;	16. NFKC_CF-Circle	 # ( ㊕ → ㊕ )	CIRCLED IDEOGRAPH SPECIAL → CIRCLED IDEOGRAPH SPECIAL
3296;	3296;	8CA1;	16. NFKC_CF-Circle	 # ( ㊖ → ㊖ )	CIRCLED IDEOGRAPH FINANCIAL → CIRCLED IDEOGRAPH FINANCIAL
3297;	3297;	795D;	16. NFKC_CF-Circle	 # ( ㊗ → ㊗ )	CIRCLED IDEOGRAPH CONGRATULATION → CIRCLED IDEOGRAPH CONGRATULATION
3298;	3298;	52B4;	16. NFKC_CF-Circle	 # ( ㊘ → ㊘ )	CIRCLED IDEOGRAPH LABOR → CIRCLED IDEOGRAPH LABOR
3299;	3299;	79D8;	16. NFKC_CF-Circle	 # ( ㊙ → ㊙ )	CIRCLED IDEOGRAPH SECRET → CIRCLED IDEOGRAPH SECRET
329A;	329A;	7537;	16. NFKC_CF-Circle	 # ( ㊚ → ㊚ )	CIRCLED IDEOGRAPH MALE → CIRCLED IDEOGRAPH MALE
329B;	329B;	5973;	16. NFKC_CF-Circle	 # ( ㊛ → ㊛ )	CIRCLED IDEOGRAPH FEMALE → CIRCLED IDEOGRAPH FEMALE
329C;	329C;	9069;	16. NFKC_CF-Circle	 # ( ㊜ → ㊜ )	CIRCLED IDEOGRAPH SUITABLE → CIRCLED IDEOGRAPH SUITABLE
329D;	329D;	512A;	16. NFKC_CF-Circle	 # ( ㊝ → ㊝ )	CIRCLED IDEOGRAPH EXCELLENT → CIRCLED IDEOGRAPH EXCELLENT
329E;	329E;	5370;	16. NFKC_CF-Circle	 # ( ㊞ → ㊞ )	CIRCLED IDEOGRAPH PRINT → CIRCLED IDEOGRAPH PRINT
329F;	329F;	6CE8;	16. NFKC_CF-Circle	 # ( ㊟ → ㊟ )	CIRCLED IDEOGRAPH ATTENTION → CIRCLED IDEOGRAPH ATTENTION
32A0;	32A0;	9805;	16. NFKC_CF-Circle	 # ( ㊠ → ㊠ )	CIRCLED IDEOGRAPH ITEM → CIRCLED IDEOGRAPH ITEM
32A1;	32A1;	4F11;	16. NFKC_CF-Circle	 # ( ㊡ → ㊡ )	CIRCLED IDEOGRAPH REST → CIRCLED IDEOGRAPH REST
32A2;	32A2;	5199;	16. NFKC_CF-Circle	 # ( ㊢ → ㊢ )	CIRCLED IDEOGRAPH COPY → CIRCLED IDEOGRAPH COPY
32A3;	32A3;	6B63;	16. NFKC_CF-Circle	 # ( ㊣ → ㊣ )	CIRCLED IDEOGRAPH CORRECT → CIRCLED IDEOGRAPH CORRECT
32A4;	32A4;	4E0A;	16. NFKC_CF-Circle	 # ( ㊤ → ㊤ )	CIRCLED IDEOGRAPH HIGH → CIRCLED IDEOGRAPH HIGH
32A5;	32A5;	4E2D;	16. NFKC_CF-Circle	 # ( ㊥ → ㊥ )	CIRCLED IDEOGRAPH CENTRE → CIRCLED IDEOGRAPH CENTRE
32A6;	32A6;	4E0B;	16. NFKC_CF-Circle	 # ( ㊦ → ㊦ )	CIRCLED IDEOGRAPH LOW → CIRCLED IDEOGRAPH LOW
32A7;	32A7;	5DE6;	16. NFKC_CF-Circle	 # ( ㊧ → ㊧ )	CIRCLED IDEOGRAPH LEFT → CIRCLED IDEOGRAPH LEFT
32A8;	32A8;	53F3;	16. NFKC_CF-Circle	 # ( ㊨ → ㊨ )	CIRCLED IDEOGRAPH RIGHT → CIRCLED IDEOGRAPH RIGHT
32A9;	32A9;	533B;	16. NFKC_CF-Circle	 # ( ㊩ → ㊩ )	CIRCLED IDEOGRAPH MEDICINE → CIRCLED IDEOGRAPH MEDICINE
32AA;	32AA;	5B97;	16. NFKC_CF-Circle	 # ( ㊪ → ㊪ )	CIRCLED IDEOGRAPH RELIGION → CIRCLED IDEOGRAPH RELIGION
32AB;	32AB;	5B66;	16. NFKC_CF-Circle	 # ( ㊫ → ㊫ )	CIRCLED IDEOGRAPH STUDY → CIRCLED IDEOGRAPH STUDY
32AC;	32AC;	76E3;	16. NFKC_CF-Circle	 # ( ㊬ → ㊬ )	CIRCLED IDEOGRAPH SUPERVISE → CIRCLED IDEOGRAPH SUPERVISE
32AD;	32AD;	4F01;	16. NFKC_CF-Circle	 # ( ㊭ → ㊭ )	CIRCLED IDEOGRAPH ENTERPRISE → CIRCLED IDEOGRAPH ENTERPRISE
32AE;	32AE;	8CC7;	16. NFKC_CF-Circle	 # ( ㊮ → ㊮ )	CIRCLED IDEOGRAPH RESOURCE → CIRCLED IDEOGRAPH RESOURCE
32AF;	32AF;	5354;	16. NFKC_CF-Circle	 # ( ㊯ → ㊯ )	CIRCLED IDEOGRAPH ALLIANCE → CIRCLED IDEOGRAPH ALLIANCE
32B0;	32B0;	591C;	16. NFKC_CF-Circle	 # ( ㊰ → ㊰ )	CIRCLED IDEOGRAPH NIGHT → CIRCLED IDEOGRAPH NIGHT
32B1;	32B1;	0033 0036;	16. NFKC_CF-Circle	 # ( ㊱ → ㊱ )	CIRCLED NUMBER THIRTY SIX → CIRCLED NUMBER THIRTY SIX
32B2;	32B2;	0033 0037;	16. NFKC_CF-Circle	 # ( ㊲ → ㊲ )	CIRCLED NUMBER THIRTY SEVEN → CIRCLED NUMBER THIRTY SEVEN
32B3;	32B3;	0033 0038;	16. NFKC_CF-Circle	 # ( ㊳ → ㊳ )	CIRCLED NUMBER THIRTY EIGHT → CIRCLED NUMBER THIRTY EIGHT
32B4;	32B4;	0033 0039;	16. NFKC_CF-Circle	 # ( ㊴ → ㊴ )	CIRCLED NUMBER THIRTY NINE → CIRCLED NUMBER THIRTY NINE
32B5;	32B5;	0034 0030;	16. NFKC_CF-Circle	 # ( ㊵ → ㊵ )	CIRCLED NUMBER FORTY → CIRCLED NUMBER FORTY
32B6;	32B6;	0034 0031;	16. NFKC_CF-Circle	 # ( ㊶ → ㊶ )	CIRCLED NUMBER FORTY ONE → CIRCLED NUMBER FORTY ONE
32B7;	32B7;	0034 0032;	16. NFKC_CF-Circle	 # ( ㊷ → ㊷ )	CIRCLED NUMBER FORTY TWO → CIRCLED NUMBER FORTY TWO
32B8;	32B8;	0034 0033;	16. NFKC_CF-Circle	 # ( ㊸ → ㊸ )	CIRCLED NUMBER FORTY THREE → CIRCLED NUMBER FORTY THREE
32B9;	32B9;	0034 0034;	16. NFKC_CF-Circle	 # ( ㊹ → ㊹ )	CIRCLED NUMBER FORTY FOUR → CIRCLED NUMBER FORTY FOUR
32BA;	32BA;	0034 0035;	16. NFKC_CF-Circle	 # ( ㊺ → ㊺ )	CIRCLED NUMBER FORTY FIVE → CIRCLED NUMBER FORTY FIVE
32BB;	32BB;	0034 0036;	16. NFKC_CF-Circle	 # ( ㊻ → ㊻ )	CIRCLED NUMBER FORTY SIX → CIRCLED NUMBER FORTY SIX
32BC;	32BC;	0034 0037;	16. NFKC_CF-Circle	 # ( ㊼ → ㊼ )	CIRCLED NUMBER FORTY SEVEN → CIRCLED NUMBER FORTY SEVEN
32BD;	32BD;	0034 0038;	16. NFKC_CF-Circle	 # ( ㊽ → ㊽ )	CIRCLED NUMBER FORTY EIGHT → CIRCLED NUMBER FORTY EIGHT
32BE;	32BE;	0034 0039;	16. NFKC_CF-Circle	 # ( ㊾ → ㊾ )	CIRCLED NUMBER FORTY NINE → CIRCLED NUMBER FORTY NINE
32BF;	32BF;	0035 0030;	16. NFKC_CF-Circle	 # ( ㊿ → ㊿ )	CIRCLED NUMBER FIFTY → CIRCLED NUMBER FIFTY
32D0;	32D0;	30A2;	16. NFKC_CF-Circle	 # ( ㋐ → ㋐ )	CIRCLED KATAKANA A → CIRCLED KATAKANA A
32D1;	32D1;	30A4;	16. NFKC_CF-Circle	 # ( ㋑ → ㋑ )	CIRCLED KATAKANA I → CIRCLED KATAKANA I
32D2;	32D2;	30A6;	16. NFKC_CF-Circle	 # ( ㋒ → ㋒ )	CIRCLED KATAKANA U → CIRCLED KATAKANA U
32D3;	32D3;	30A8;	16. NFKC_CF-Circle	 # ( ㋓ → ㋓ )	CIRCLED KATAKANA E → CIRCLED KATAKANA E
32D4;	32D4;	30AA;	16. NFKC_CF-Circle	 # ( ㋔ → ㋔ )	CIRCLED KATAKANA O → CIRCLED KATAKANA O
32D5;	32D5;	30AB;	16. NFKC_CF-Circle	 # ( ㋕ → ㋕ )	CIRCLED KATAKANA KA → CIRCLED KATAKANA KA
32D6;	32D6;	30AD;	16. NFKC_CF-Circle	 # ( ㋖ → ㋖ )	CIRCLED KATAKANA KI → CIRCLED KATAKANA KI
32D7;	32D7;	30AF;	16. NFKC_CF-Circle	 # ( ㋗ → ㋗ )	CIRCLED KATAKANA KU → CIRCLED KATAKANA KU
32D8;	32D8;	30B1;	16. NFKC_CF-Circle	 # ( ㋘ → ㋘ )	CIRCLED KATAKANA KE → CIRCLED KATAKANA KE
32D9;	32D9;	30B3;	16. NFKC_CF-Circle	 # ( ㋙ → ㋙ )	CIRCLED KATAKANA KO → CIRCLED KATAKANA KO
32DA;	32DA;	30B5;	16. NFKC_CF-Circle	 # ( ㋚ → ㋚ )	CIRCLED KATAKANA SA → CIRCLED KATAKANA SA
32DB;	32DB;	30B7;	16. NFKC_CF-Circle	 # ( ㋛ → ㋛ )	CIRCLED KATAKANA SI → CIRCLED KATAKANA SI
32DC;	32DC;	30B9;	16. NFKC_CF-Circle	 # ( ㋜ → ㋜ )	CIRCLED KATAKANA SU → CIRCLED KATAKANA SU
32DD;	32DD;	30BB;	16. NFKC_CF-Circle	 # ( ㋝ → ㋝ )	CIRCLED KATAKANA SE → CIRCLED KATAKANA SE
32DE;	32DE;	30BD;	16. NFKC_CF-Circle	 # ( ㋞ → ㋞ )	CIRCLED KATAKANA SO → CIRCLED KATAKANA SO
32DF;	32DF;	30BF;	16. NFKC_CF-Circle	 # ( ㋟ → ㋟ )	CIRCLED KATAKANA TA → CIRCLED KATAKANA TA
32E0;	32E0;	30C1;	16. NFKC_CF-Circle	 # ( ㋠ → ㋠ )	CIRCLED KATAKANA TI → CIRCLED KATAKANA TI
32E1;	32E1;	30C4;	16. NFKC_CF-Circle	 # ( ㋡ → ㋡ )	CIRCLED KATAKANA TU → CIRCLED KATAKANA TU
32E2;	32E2;	30C6;	16. NFKC_CF-Circle	 # ( ㋢ → ㋢ )	CIRCLED KATAKANA TE → CIRCLED KATAKANA TE
32E3;	32E3;	30C8;	16. NFKC_CF-Circle	 # ( ㋣ → ㋣ )	CIRCLED KATAKANA TO → CIRCLED KATAKANA TO
32E4;	32E4;	30CA;	16. NFKC_CF-Circle	 # ( ㋤ → ㋤ )	CIRCLED KATAKANA NA → CIRCLED KATAKANA NA
32E5;	32E5;	30CB;	16. NFKC_CF-Circle	 # ( ㋥ → ㋥ )	CIRCLED KATAKANA NI → CIRCLED KATAKANA NI
32E6;	32E6;	30CC;	16. NFKC_CF-Circle	 # ( ㋦ → ㋦ )	CIRCLED KATAKANA NU → CIRCLED KATAKANA NU
32E7;	32E7;	30CD;	16. NFKC_CF-Circle	 # ( ㋧ → ㋧ )	CIRCLED KATAKANA NE → CIRCLED KATAKANA NE
32E8;	32E8;	30CE;	16. NFKC_CF-Circle	 # ( ㋨ → ㋨ )	CIRCLED KATAKANA NO → CIRCLED KATAKANA NO
32E9;	32E9;	30CF;	16. NFKC_CF-Circle	 # ( ㋩ → ㋩ )	CIRCLED KATAKANA HA → CIRCLED KATAKANA HA
32EA;	32EA;	30D2;	16. NFKC_CF-Circle	 # ( ㋪ → ㋪ )	CIRCLED KATAKANA HI → CIRCLED KATAKANA HI
32EB;	32EB;	30D5;	16. NFKC_CF-Circle	 # ( ㋫ → ㋫ )	CIRCLED KATAKANA HU → CIRCLED KATAKANA HU
32EC;	32EC;	30D8;	16. NFKC_CF-Circle	 # ( ㋬ → ㋬ )	CIRCLED KATAKANA HE → CIRCLED KATAKANA HE
32ED;	32ED;	30DB;	16. NFKC_CF-Circle	 # ( ㋭ → ㋭ )	CIRCLED KATAKANA HO → CIRCLED KATAKANA HO
32EE;	32EE;	30DE;	16. NFKC_CF-Circle	 # ( ㋮ → ㋮ )	CIRCLED KATAKANA MA → CIRCLED KATAKANA MA
32EF;	32EF;	30DF;	16. NFKC_CF-Circle	 # ( ㋯ → ㋯ )	CIRCLED KATAKANA MI → CIRCLED KATAKANA MI
32F0;	32F0;	30E0;	16. NFKC_CF-Circle	 # ( ㋰ → ㋰ )	CIRCLED KATAKANA MU → CIRCLED KATAKANA MU
32F1;	32F1;	30E1;	16. NFKC_CF-Circle	 # ( ㋱ → ㋱ )	CIRCLED KATAKANA ME → CIRCLED KATAKANA ME
32F2;	32F2;	30E2;	16. NFKC_CF-Circle	 # ( ㋲ → ㋲ )	CIRCLED KATAKANA MO → CIRCLED KATAKANA MO
32F3;	32F3;	30E4;	16. NFKC_CF-Circle	 # ( ㋳ → ㋳ )	CIRCLED KATAKANA YA → CIRCLED KATAKANA YA
32F4;	32F4;	30E6;	16. NFKC_CF-Circle	 # ( ㋴ → ㋴ )	CIRCLED KATAKANA YU → CIRCLED KATAKANA YU
32F5;	32F5;	30E8;	16. NFKC_CF-Circle	 # ( ㋵ → ㋵ )	CIRCLED KATAKANA YO → CIRCLED KATAKANA YO
32F6;	32F6;	30E9;	16. NFKC_CF-Circle	 # ( ㋶ → ㋶ )	CIRCLED KATAKANA RA → CIRCLED KATAKANA RA
32F7;	32F7;	30EA;	16. NFKC_CF-Circle	 # ( ㋷ → ㋷ )	CIRCLED KATAKANA RI → CIRCLED KATAKANA RI
32F8;	32F8;	30EB;	16. NFKC_CF-Circle	 # ( ㋸ → ㋸ )	CIRCLED KATAKANA RU → CIRCLED KATAKANA RU
32F9;	32F9;	30EC;	16. NFKC_CF-Circle	 # ( ㋹ → ㋹ )	CIRCLED KATAKANA RE → CIRCLED KATAKANA RE
32FA;	32FA;	30ED;	16. NFKC_CF-Circle	 # ( ㋺ → ㋺ )	CIRCLED KATAKANA RO → CIRCLED KATAKANA RO
32FB;	32FB;	30EF;	16. NFKC_CF-Circle	 # ( ㋻ → ㋻ )	CIRCLED KATAKANA WA → CIRCLED KATAKANA WA
32FC;	32FC;	30F0;	16. NFKC_CF-Circle	 # ( ㋼ → ㋼ )	CIRCLED KATAKANA WI → CIRCLED KATAKANA WI
32FD;	32FD;	30F1;	16. NFKC_CF-Circle	 # ( ㋽ → ㋽ )	CIRCLED KATAKANA WE → CIRCLED KATAKANA WE
32FE;	32FE;	30F2;	16. NFKC_CF-Circle	 # ( ㋾ → ㋾ )	CIRCLED KATAKANA WO → CIRCLED KATAKANA WO
1F12B;	1F12B;	0063;	16. NFKC_CF-Circle	 # ( 🄫 → 🄫 )	CIRCLED ITALIC LATIN CAPITAL LETTER C → CIRCLED ITALIC LATIN CAPITAL LETTER C
1F12C;	1F12C;	0072;	16. NFKC_CF-Circle	 # ( 🄬 → 🄬 )	CIRCLED ITALIC LATIN CAPITAL LETTER R → CIRCLED ITALIC LATIN CAPITAL LETTER R
1F12D;	1F12D;	0063 0064;	16. NFKC_CF-Circle	 # ( 🄭 → 🄭 )	CIRCLED CD → CIRCLED CD
1F12E;	1F12E;	0077 007A;	16. NFKC_CF-Circle	 # ( 🄮 → 🄮 )	CIRCLED WZ → CIRCLED WZ
1F250;	1F250;	5F97;	16. NFKC_CF-Circle	 # ( 🉐 → 🉐 )	CIRCLED IDEOGRAPH ADVANTAGE → CIRCLED IDEOGRAPH ADVANTAGE
1F251;	1F251;	53EF;	16. NFKC_CF-Circle	 # ( 🉑 → 🉑 )	CIRCLED IDEOGRAPH ACCEPT → CIRCLED IDEOGRAPH ACCEPT

#@override reason=16. NFKC_CF-Compat

0E33;	0E33;	0E4D 0E32;	16. NFKC_CF-Compat	 # ( ำ → ำ )	THAI CHARACTER SARA AM → THAI CHARACTER SARA AM
2002;	2002;	0020;	16. NFKC_CF-Compat	 # (   →   )	EN SPACE → EN SPACE
2003;	2003;	0020;	16. NFKC_CF-Compat	 # (   →   )	EM SPACE → EM SPACE
2004;	2004;	0020;	16. NFKC_CF-Compat	 # (   →   )	THREE-PER-EM SPACE → THREE-PER-EM SPACE
2005;	2005;	0020;	16. NFKC_CF-Compat	 # (   →   )	FOUR-PER-EM SPACE → FOUR-PER-EM SPACE
2006;	2006;	0020;	16. NFKC_CF-Compat	 # (   →   )	SIX-PER-EM SPACE → SIX-PER-EM SPACE
2008;	2008;	0020;	16. NFKC_CF-Compat	 # (   →   )	PUNCTUATION SPACE → PUNCTUATION SPACE
2009;	2009;	0020;	16. NFKC_CF-Compat	 # (   →   )	THIN SPACE → THIN SPACE
200A;	200A;	0020;	16. NFKC_CF-Compat	 # (   →   )	HAIR SPACE → HAIR SPACE
2024;	2024;	002E;	16. NFKC_CF-Compat	 # ( ․ → ․ )	ONE DOT LEADER → ONE DOT LEADER
2025;	2025;	002E 002E;	16. NFKC_CF-Compat	 # ( ‥ → ‥ )	TWO DOT LEADER → TWO DOT LEADER
2026;	2026;	002E 002E 002E;	16. NFKC_CF-Compat	 # ( … → … )	HORIZONTAL ELLIPSIS → HORIZONTAL ELLIPSIS
2033;	2033;	2032 2032;	16. NFKC_CF-Compat	 # ( ″ → ″ )	DOUBLE PRIME → DOUBLE PRIME
2034;	2034;	2032 2032 2032;	16. NFKC_CF-Compat	 # ( ‴ → ‴ )	TRIPLE PRIME → TRIPLE PRIME
2036;	2036;	2035 2035;	16. NFKC_CF-Compat	 # ( ‶ → ‶ )	REVERSED DOUBLE PRIME → REVERSED DOUBLE PRIME
2037;	2037;	2035 2035 2035;	16. NFKC_CF-Compat	 # ( ‷ → ‷ )	REVERSED TRIPLE PRIME → REVERSED TRIPLE PRIME
203C;	203C;	0021 0021;	16. NFKC_CF-Compat	 # ( ‼ → ‼ )	DOUBLE EXCLAMATION MARK → DOUBLE EXCLAMATION MARK
2047;	2047;	003F 003F;	16. NFKC_CF-Compat	 # ( ⁇ → ⁇ )	DOUBLE QUESTION MARK → DOUBLE QUESTION MARK
2048;	2048;	003F 0021;	16. NFKC_CF-Compat	 # ( ⁈ → ⁈ )	QUESTION EXCLAMATION MARK → QUESTION EXCLAMATION MARK
2049;	2049;	0021 003F;	16. NFKC_CF-Compat	 # ( ⁉ → ⁉ )	EXCLAMATION QUESTION MARK → EXCLAMATION QUESTION MARK
2057;	2057;	2032 2032 2032 2032;	16. NFKC_CF-Compat	 # ( ⁗ → ⁗ )	QUADRUPLE PRIME → QUADRUPLE PRIME
205F;	205F;	0020;	16. NFKC_CF-Compat	 # (   →   )	MEDIUM MATHEMATICAL SPACE → MEDIUM MATHEMATICAL SPACE
20A8;	20A8;	0072 0073;	16. NFKC_CF-Compat	 # ( ₨ → ₨ )	RUPEE SIGN → RUPEE SIGN
2103;	2103;	00B0 0063;	16. NFKC_CF-Compat	 # ( ℃ → ℃ )	DEGREE CELSIUS → DEGREE CELSIUS
2109;	2109;	00B0 0066;	16. NFKC_CF-Compat	 # ( ℉ → ℉ )	DEGREE FAHRENHEIT → DEGREE FAHRENHEIT
2116;	2116;	006E 006F;	16. NFKC_CF-Compat	 # ( № → № )	NUMERO SIGN → NUMERO SIGN
2121;	2121;	0074 0065 006C;	16. NFKC_CF-Compat	 # ( ℡ → ℡ )	TELEPHONE SIGN → TELEPHONE SIGN
213B;	213B;	0066 0061 0078;	16. NFKC_CF-Compat	 # ( ℻ → ℻ )	FACSIMILE SIGN → FACSIMILE SIGN
2160;	2170;	0069;	16. NFKC_CF-Compat	 # ( Ⅰ → ⅰ )	ROMAN NUMERAL ONE → SMALL ROMAN NUMERAL ONE
2161;	2171;	0069 0069;	16. NFKC_CF-Compat	 # ( Ⅱ → ⅱ )	ROMAN NUMERAL TWO → SMALL ROMAN NUMERAL TWO
2162;	2172;	0069 0069 0069;	16. NFKC_CF-Compat	 # ( Ⅲ → ⅲ )	ROMAN NUMERAL THREE → SMALL ROMAN NUMERAL THREE
2163;	2173;	0069 0076;	16. NFKC_CF-Compat	 # ( Ⅳ → ⅳ )	ROMAN NUMERAL FOUR → SMALL ROMAN NUMERAL FOUR
2164;	2174;	0076;	16. NFKC_CF-Compat	 # ( Ⅴ → ⅴ )	ROMAN NUMERAL FIVE → SMALL ROMAN NUMERAL FIVE
2165;	2175;	0076 0069;	16. NFKC_CF-Compat	 # ( Ⅵ → ⅵ )	ROMAN NUMERAL SIX → SMALL ROMAN NUMERAL SIX
2166;	2176;	0076 0069 0069;	16. NFKC_CF-Compat	 # ( Ⅶ → ⅶ )	ROMAN NUMERAL SEVEN → SMALL ROMAN NUMERAL SEVEN
2167;	2177;	0076 0069 0069 0069;	16. NFKC_CF-Compat	 # ( Ⅷ → ⅷ )	ROMAN NUMERAL EIGHT → SMALL ROMAN NUMERAL EIGHT
2168;	2178;	0069 0078;	16. NFKC_CF-Compat	 # ( Ⅸ → ⅸ )	ROMAN NUMERAL NINE → SMALL ROMAN NUMERAL NINE
2169;	2179;	0078;	16. NFKC_CF-Compat	 # ( Ⅹ → ⅹ )	ROMAN NUMERAL TEN → SMALL ROMAN NUMERAL TEN
216A;	217A;	0078 0069;	16. NFKC_CF-Compat	 # ( Ⅺ → ⅺ )	ROMAN NUMERAL ELEVEN → SMALL ROMAN NUMERAL ELEVEN
216B;	217B;	0078 0069 0069;	16. NFKC_CF-Compat	 # ( Ⅻ → ⅻ )	ROMAN NUMERAL TWELVE → SMALL ROMAN NUMERAL TWELVE
216C;	217C;	006C;	16. NFKC_CF-Compat	 # ( Ⅼ → ⅼ )	ROMAN NUMERAL FIFTY → SMALL ROMAN NUMERAL FIFTY
216D;	217D;	0063;	16. NFKC_CF-Compat	 # ( Ⅽ → ⅽ )	ROMAN NUMERAL ONE HUNDRED → SMALL ROMAN NUMERAL ONE HUNDRED
216E;	217E;	0064;	16. NFKC_CF-Compat	 # ( Ⅾ → ⅾ )	ROMAN NUMERAL FIVE HUNDRED → SMALL ROMAN NUMERAL FIVE HUNDRED
216F;	217F;	006D;	16. NFKC_CF-Compat	 # ( Ⅿ → ⅿ )	ROMAN NUMERAL ONE THOUSAND → SMALL ROMAN NUMERAL ONE THOUSAND
2170;	2170;	0069;	16. NFKC_CF-Compat	 # ( ⅰ → ⅰ )	SMALL ROMAN NUMERAL ONE → SMALL ROMAN NUMERAL ONE
2171;	2171;	0069 0069;	16. NFKC_CF-Compat	 # ( ⅱ → ⅱ )	SMALL ROMAN NUMERAL TWO → SMALL ROMAN NUMERAL TWO
2172;	2172;	0069 0069 0069;	16. NFKC_CF-Compat	 # ( ⅲ → ⅲ )	SMALL ROMAN NUMERAL THREE → SMALL ROMAN NUMERAL THREE
2173;	2173;	0069 0076;	16. NFKC_CF-Compat	 # ( ⅳ → ⅳ )	SMALL ROMAN NUMERAL FOUR → SMALL ROMAN NUMERAL FOUR
2174;	2174;	0076;	16. NFKC_CF-Compat	 # ( ⅴ → ⅴ )	SMALL ROMAN NUMERAL FIVE → SMALL ROMAN NUMERAL FIVE
2175;	2175;	0076 0069;	16. NFKC_CF-Compat	 # ( ⅵ → ⅵ )	SMALL ROMAN NUMERAL SIX → SMALL ROMAN NUMERAL SIX
2176;	2176;	0076 0069 0069;	16. NFKC_CF-Compat	 # ( ⅶ → ⅶ )	SMALL ROMAN NUMERAL SEVEN → SMALL ROMAN NUMERAL SEVEN
2177;	2177;	0076 0069 0069 0069;	16. NFKC_CF-Compat	 # ( ⅷ → ⅷ )	SMALL ROMAN NUMERAL EIGHT → SMALL ROMAN NUMERAL EIGHT
2178;	2178;	0069 0078;	16. NFKC_CF-Compat	 # ( ⅸ → ⅸ )	SMALL ROMAN NUMERAL NINE → SMALL ROMAN NUMERAL NINE
2179;	2179;	0078;	16. NFKC_CF-Compat	 # ( ⅹ → ⅹ )	SMALL ROMAN NUMERAL TEN → SMALL ROMAN NUMERAL TEN
217A;	217A;	0078 0069;	16. NFKC_CF-Compat	 # ( ⅺ → ⅺ )	SMALL ROMAN NUMERAL ELEVEN → SMALL ROMAN NUMERAL ELEVEN
217B;	217B;	0078 0069 0069;	16. NFKC_CF-Compat	 # ( ⅻ → ⅻ )	SMALL ROMAN NUMERAL TWELVE → SMALL ROMAN NUMERAL TWELVE
217C;	217C;	006C;	16. NFKC_CF-Compat	 # ( ⅼ → ⅼ )	SMALL ROMAN NUMERAL FIFTY → SMALL ROMAN NUMERAL FIFTY
217D;	217D;	0063;	16. NFKC_CF-Compat	 # ( ⅽ → ⅽ )	SMALL ROMAN NUMERAL ONE HUNDRED → SMALL ROMAN NUMERAL ONE HUNDRED
217E;	217E;	0064;	16. NFKC_CF-Compat	 # ( ⅾ → ⅾ )	SMALL ROMAN NUMERAL FIVE HUNDRED → SMALL ROMAN NUMERAL FIVE HUNDRED
217F;	217F;	006D;	16. NFKC_CF-Compat	 # ( ⅿ → ⅿ )	SMALL ROMAN NUMERAL ONE THOUSAND → SMALL ROMAN NUMERAL ONE THOUSAND
222C;	222C;	222B 222B;	16. NFKC_CF-Compat	 # ( ∬ → ∬ )	DOUBLE INTEGRAL → DOUBLE INTEGRAL
222D;	222D;	222B 222B 222B;	16. NFKC_CF-Compat	 # ( ∭ → ∭ )	TRIPLE INTEGRAL → TRIPLE INTEGRAL
222F;	222F;	222E 222E;	16. NFKC_CF-Compat	 # ( ∯ → ∯ )	SURFACE INTEGRAL → SURFACE INTEGRAL
2230;	2230;	222E 222E 222E;	16. NFKC_CF-Compat	 # ( ∰ → ∰ )	VOLUME INTEGRAL → VOLUME INTEGRAL
2474;	2474;	0028 0031 0029;	16. NFKC_CF-Compat	 # ( ⑴ → ⑴ )	PARENTHESIZED DIGIT ONE → PARENTHESIZED DIGIT ONE
2475;	2475;	0028 0032 0029;	16. NFKC_CF-Compat	 # ( ⑵ → ⑵ )	PARENTHESIZED DIGIT TWO → PARENTHESIZED DIGIT TWO
2476;	2476;	0028 0033 0029;	16. NFKC_CF-Compat	 # ( ⑶ → ⑶ )	PARENTHESIZED DIGIT THREE → PARENTHESIZED DIGIT THREE
2477;	2477;	0028 0034 0029;	16. NFKC_CF-Compat	 # ( ⑷ → ⑷ )	PARENTHESIZED DIGIT FOUR → PARENTHESIZED DIGIT FOUR
