004;AF
962;QP
963;QQ
964;QR
965;QS
966;QT
967;QU
968;QV
969;QW
970;QX
971;QY
972;QZ
973;XA
974;XB
975;XC
976;XD
977;XE
978;XF
979;XG
980;XH
981;XI
982;XJ
983;XK
984;XL
985;XM
986;XN
987;XO
988;XP
989;XQ
990;XR
991;XS
992;XT
993;XU
994;XV
995;XW
996;XX
997;XY
998;XZ
999;ZZ
AALAND;AX
BQ;AQ
BU;MM
CS;RS ME
CT;KI
DD;DE
DY;BJ
FQ;AQ TF
FX;FR
HV;BF
JT;UM
MI;UM
NH;VU
NQ;AQ
NT;IQ SA
PC;FM MH MP PW
POLYTONI;POLYTON
PU;UM
PZ;PA
RH;ZW
SU;RU AM AZ BY EE GE KZ KG LV LT MD TJ TM UA UZ
TP;TL
UK;GB
VD;VN
WK;UM
YD;YE
YU;RS ME
ZR;CD
aar;aa
abk;ab
afr;af
aka;ak
amh;am
ara;ar
arb;ar
arg;an
asm;as
ava;av
ave;ae
aym;ay
aze;az
bak;ba
bam;bm
bel;be
ben;bn
bih;bh
bis;bi
bod;bo
bos;bs
bre;br
bul;bg
cat;ca
ces;cs
cha;ch
che;ce
chu;cu
chv;cv
cmn;zh
cor;kw
cos;co
cre;cr
cym;cy
dan;da
deu;de
div;dv
dzo;dz
ell;el
eng;en
epo;eo
est;et
eus;eu
ewe;ee
fao;fo
fas;fa
fat;ak
fij;fj
fin;fi
fra;fr
fry;fy
ful;ff
gla;gd
gle;ga
glg;gl
glv;gv
grn;gn
guj;gu
hat;ht
hau;ha
hbs;hr
heb;he
her;hz
hin;hi
hmo;ho
hrv;hr
hun;hu
hye;hy
ibo;ig
ido;io
iii;ii
iku;iu
ile;ie
in;id
ina;ia
ind;id
ipk;ik
isl;is
ita;it
iw;he
jav;jv
ji;yi
jpn;ja
jw;jv
kal;kl
kan;kn
kas;ks
kat;ka
kau;kr
kaz;kk
khm;km
kik;ki
kin;rw
kir;ky
knn;kok
kom;kv
kon;kg
kor;ko
kua;kj
kur;ku
lao;lo
lat;la
lav;lv
lim;li
lin;ln
lit;lt
ltz;lb
lub;lu
lug;lg
mah;mh
mal;ml
mar;mr
mkd;mk
mlg;mg
mlt;mt
mo;ro
mol;ro
mon;mn
mri;mi
msa;ms
mya;my
nau;na
nav;nv
nb;no
nbl;nr
nde;nd
ndo;ng
nep;ne
nld;nl
nno;nn
nob;no
nor;no
nya;ny
oci;oc
oji;oj
ori;or
orm;om
oss;os
pan;pa
pes;fa
pli;pi
pol;pl
por;pt
prs;fa
pus;ps
que;qu
roh;rm
ron;ro
run;rn
rus;ru
sag;sg
san;sa
sh;hr
sin;si
slk;sk
slv;sl
sme;se
smo;sm
sna;sn
snd;sd
som;so
sot;st
spa;es
sqi;sq
srd;sc
srp;sr
ssw;ss
sun;su
swa;sw
swe;sv
swh;sw
tah;ty
tam;ta
tat;tt
tel;te
tgk;tg
tgl;tl
tha;th
tir;ti
ton;to
tsn;tn
tso;ts
tuk;tk
tur;tr
tw;ak
twi;ak
uig;ug
ukr;uk
urd;ur
uzb;uz
uzn;uz
ven;ve
vie;vi
vol;vo
wln;wa
wol;wo
xho;xh
yid;yi
yor;yo
zha;za
zho;zh
zsm;ms
zul;zu
