# File: MathClass.txt
# Revision: 16.0
# Date: 2025-07-01
#
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr25/
#
# ------------------------------------------------
# This file is a classification of characters based on their usage in
# mathematical notation.
#
# While the contents of this file represent the best information
# available to the authors and the Unicode Technical Committee as
# of the date referenced above, it is likely that the information
# in this file will change from time to time.
#
# This file is *NOT* formally part of the Unicode Character Database
# at this time.
#
# The character encoding of this plain-text file is UTF-8.
#
# The data consists of 2 fields.
#
# 1: code point or range
#
# 2: class, one of:
#
#	N - Normal - includes all digits and symbols requiring only one form
#	A - Alphabetic
#	B - Binary
#	C - Closing - usually paired with opening delimiter
#	D - Diacritic
#	F - Fence - unpaired delimiter (often used as opening or closing)
#	G - Glyph_Part - piece of large operator
#	L - Large - n-ary or large operator, often takes limits
#	O - Opening - usually paired with closing delimiter
#	P - Punctuation
#	R - Relation - includes arrows
#	S - Space
#	U - Unary - operators that are only unary
#	V - Vary - operators that can be unary or binary depending on context
#	X - Special - characters not covered by other classes
#
# Fields are delimited by ';'.
# Spaces adjacent to the delimiter or the '#' are not significant
# Future versions of this file may use different amounts of whitespace.
#
# Some character positions in the Mathematical Alphanumeric Symbols block are
# reserved and have been mapped to the Letterlike Symbols block in Unicode.
# This is indicated in 24 special purpose comments.
#
# The character repertoire of this revision is the repertoire of Unicode
# Version 17.0. For more information see Revision 16 or later of UTR #25.
# ------------------------------------------------

#code point;class
1D5A6;A
1D5A7;A
1D5A8;A
1D5A9;A
1D5AA;A
1D5AB;A
1D5AC;A
1D5AD;A
1D5AE;A
1D5AF;A
1D5B0;A
1D5B1;A
1D5B2;A
1D5B3;A
1D5B4;A
1D5B5;A
1D5B6;A
1D5B7;A
1D5B8;A
1D5B9;A
1D5BA;A
1D5BB;A
1D5BC;A
1D5BD;A
1D5BE;A
1D5BF;A
1D5C0;A
1D5C1;A
1D5C2;A
1D5C3;A
1D5C4;A
1D5C5;A
1D5C6;A
1D5C7;A
1D5C8;A
1D5C9;A
1D5CA;A
1D5CB;A
1D5CC;A
1D5CD;A
1D5CE;A
1D5CF;A
1D5D0;A
1D5D1;A
1D5D2;A
1D5D3;A
1D5D4;A
1D5D5;A
1D5D6;A
1D5D7;A
1D5D8;A
1D5D9;A
1D5DA;A
1D5DB;A
1D5DC;A
1D5DD;A
1D5DE;A
1D5DF;A
1D5E0;A
1D5E1;A
1D5E2;A
1D5E3;A
1D5E4;A
1D5E5;A
1D5E6;A
1D5E7;A
1D5E8;A
1D5E9;A
1D5EA;A
1D5EB;A
1D5EC;A
1D5ED;A
1D5EE;A
1D5EF;A
1D5F0;A
1D5F1;A
1D5F2;A
1D5F3;A
1D5F4;A
1D5F5;A
1D5F6;A
1D5F7;A
1D5F8;A
1D5F9;A
1D5FA;A
1D5FB;A
1D5FC;A
1D5FD;A
1D5FE;A
1D5FF;A
1D600;A
1D601;A
1D602;A
1D603;A
1D604;A
1D605;A
1D606;A
1D607;A
1D608;A
1D609;A
1D60A;A
1D60B;A
1D60C;A
1D60D;A
1D60E;A
1D60F;A
1D610;A
1D611;A
1D612;A
1D613;A
1D614;A
1D615;A
1D616;A
1D617;A
1D618;A
1D619;A
1D61A;A
1D61B;A
1D61C;A
1D61D;A
1D61E;A
1D61F;A
1D620;A
1D621;A
1D622;A
1D623;A
1D624;A
1D625;A
1D626;A
1D627;A
1D628;A
1D629;A
1D62A;A
1D62B;A
1D62C;A
1D62D;A
1D62E;A
1D62F;A
1D630;A
1D631;A
1D632;A
1D633;A
1D634;A
1D635;A
1D636;A
1D637;A
1D638;A
1D639;A
1D63A;A
1D63B;A
1D63C;A
1D63D;A
1D63E;A
1D63F;A
1D640;A
1D641;A
1D642;A
1D643;A
1D644;A
1D645;A
1D646;A
1D647;A
1D648;A
1D649;A
1D64A;A
1D64B;A
1D64C;A
1D64D;A
1D64E;A
1D64F;A
1D650;A
1D651;A
1D652;A
1D653;A
1D654;A
1D655;A
1D656;A
1D657;A
1D658;A
1D659;A
1D65A;A
1D65B;A
1D65C;A
1D65D;A
1D65E;A
1D65F;A
1D660;A
1D661;A
1D662;A
1D663;A
1D664;A
1D665;A
1D666;A
1D667;A
1D668;A
1D669;A
1D66A;A
1D66B;A
1D66C;A
1D66D;A
1D66E;A
1D66F;A
1D670;A
1D671;A
1D672;A
1D673;A
1D674;A
1D675;A
1D676;A
1D677;A
1D678;A
1D679;A
1D67A;A
1D67B;A
1D67C;A
1D67D;A
1D67E;A
1D67F;A
1D680;A
1D681;A
1D682;A
1D683;A
1D684;A
1D685;A
1D686;A
1D687;A
1D688;A
1D689;A
1D68A;A
1D68B;A
1D68C;A
1D68D;A
1D68E;A
1D68F;A
1D690;A
1D691;A
1D692;A
1D693;A
1D694;A
1D695;A
1D696;A
1D697;A
1D698;A
1D699;A
1D69A;A
1D69B;A
1D69C;A
1D69D;A
1D69E;A
1D69F;A
1D6A0;A
1D6A1;A
1D6A2;A
1D6A3;A
1D6A4;A
1D6A5;A
1D6A8;A
1D6A9;A
1D6AA;A
1D6AB;A
1D6AC;A
1D6AD;A
1D6AE;A
1D6AF;A
1D6B0;A
1D6B1;A
1D6B2;A
1D6B3;A
1D6B4;A
1D6B5;A
1D6B6;A
1D6B7;A
1D6B8;A
1D6B9;A
1D6BA;A
1D6BB;A
1D6BC;A
1D6BD;A
1D6BE;A
1D6BF;A
1D6C0;A
1D6C1;A
1D6C2;A
1D6C3;A
1D6C4;A
1D6C5;A
1D6C6;A
1D6C7;A
1D6C8;A
1D6C9;A
1D6CA;A
1D6CB;A
1D6CC;A
1D6CD;A
1D6CE;A
1D6CF;A
1D6D0;A
1D6D1;A
1D6D2;A
1D6D3;A
1D6D4;A
1D6D5;A
1D6D6;A
1D6D7;A
1D6D8;A
1D6D9;A
1D6DA;A
1D6DB;A
1D6DC;A
1D6DD;A
1D6DE;A
1D6DF;A
1D6E0;A
1D6E1;A
1D6E2;A
1D6E3;A
1D6E4;A
1D6E5;A
1D6E6;A
1D6E7;A
1D6E8;A
1D6E9;A
1D6EA;A
1D6EB;A
1D6EC;A
1D6ED;A
1D6EE;A
1D6EF;A
1D6F0;A
1D6F1;A
1D6F2;A
1D6F3;A
1D6F4;A
1D6F5;A
1D6F6;A
1D6F7;A
1D6F8;A
1D6F9;A
1D6FA;A
1D6FB;A
1D6FC;A
1D6FD;A
1D6FE;A
1D6FF;A
1D700;A
1D701;A
1D702;A
1D703;A
1D704;A
1D705;A
1D706;A
1D707;A
1D708;A
1D709;A
1D70A;A
1D70B;A
1D70C;A
1D70D;A
1D70E;A
1D70F;A
1D710;A
1D711;A
1D712;A
1D713;A
1D714;A
1D715;A
1D716;A
1D717;A
1D718;A
1D719;A
1D71A;A
1D71B;A
1D71C;A
1D71D;A
1D71E;A
1D71F;A
1D720;A
1D721;A
1D722;A
1D723;A
1D724;A
1D725;A
1D726;A
1D727;A
1D728;A
1D729;A
1D72A;A
1D72B;A
1D72C;A
1D72D;A
1D72E;A
1D72F;A
1D730;A
1D731;A
1D732;A
1D733;A
1D734;A
1D735;A
1D736;A
1D737;A
1D738;A
1D739;A
1D73A;A
1D73B;A
1D73C;A
1D73D;A
1D73E;A
1D73F;A
1D740;A
1D741;A
1D742;A
1D743;A
1D744;A
1D745;A
1D746;A
1D747;A
1D748;A
1D749;A
1D74A;A
1D74B;A
1D74C;A
1D74D;A
1D74E;A
1D74F;A
1D750;A
1D751;A
1D752;A
1D753;A
1D754;A
1D755;A
1D756;A
1D757;A
1D758;A
1D759;A
1D75A;A
1D75B;A
1D75C;A
1D75D;A
1D75E;A
1D75F;A
1D760;A
1D761;A
1D762;A
1D763;A
1D764;A
1D765;A
1D766;A
1D767;A
1D768;A
1D769;A
1D76A;A
1D76B;A
1D76C;A
1D76D;A
1D76E;A
1D76F;A
1D770;A
1D771;A
1D772;A
1D773;A
1D774;A
1D775;A
1D776;A
1D777;A
1D778;A
1D779;A
1D77A;A
1D77B;A
1D77C;A
1D77D;A
1D77E;A
1D77F;A
1D780;A
1D781;A
1D782;A
1D783;A
1D784;A
1D785;A
1D786;A
1D787;A
1D788;A
1D789;A
1D78A;A
1D78B;A
1D78C;A
1D78D;A
1D78E;A
1D78F;A
1D790;A
1D791;A
1D792;A
1D793;A
1D794;A
1D795;A
1D796;A
1D797;A
1D798;A
1D799;A
1D79A;A
1D79B;A
1D79C;A
1D79D;A
1D79E;A
1D79F;A
1D7A0;A
1D7A1;A
1D7A2;A
1D7A3;A
1D7A4;A
1D7A5;A
1D7A6;A
1D7A7;A
1D7A8;A
1D7A9;A
1D7AA;A
1D7AB;A
1D7AC;A
1D7AD;A
1D7AE;A
1D7AF;A
1D7B0;A
1D7B1;A
1D7B2;A
1D7B3;A
1D7B4;A
1D7B5;A
1D7B6;A
1D7B7;A
1D7B8;A
1D7B9;A
1D7BA;A
1D7BB;A
1D7BC;A
1D7BD;A
1D7BE;A
1D7BF;A
1D7C0;A
1D7C1;A
1D7C2;A
1D7C3;A
1D7C4;A
1D7C5;A
1D7C6;A
1D7C7;A
1D7C8;A
1D7C9;A
1D7CA;A
1D7CB;A
1D7CE;N
1D7CF;N
1D7D0;N
1D7D1;N
1D7D2;N
1D7D3;N
1D7D4;N
1D7D5;N
1D7D6;N
1D7D7;N
1D7D8;N
1D7D9;N
1D7DA;N
1D7DB;N
1D7DC;N
1D7DD;N
1D7DE;N
1D7DF;N
1D7E0;N
1D7E1;N
1D7E2;N
1D7E3;N
1D7E4;N
1D7E5;N
1D7E6;N
1D7E7;N
1D7E8;N
1D7E9;N
1D7EA;N
1D7EB;N
1D7EC;N
1D7ED;N
1D7EE;N
1D7EF;N
1D7F0;N
1D7F1;N
1D7F2;N
1D7F3;N
1D7F4;N
1D7F5;N
1D7F6;N
1D7F7;N
1D7F8;N
1D7F9;N
1D7FA;N
1D7FB;N
1D7FC;N
1D7FD;N
1D7FE;N
1D7FF;N
1EE00;A
1EE01;A
1EE02;A
1EE03;A
1EE05;A
1EE06;A
1EE07;A
1EE08;A
1EE09;A
1EE0A;A
1EE0B;A
1EE0C;A
1EE0D;A
1EE0E;A
1EE0F;A
1EE10;A
1EE11;A
1EE12;A
1EE13;A
1EE14;A
1EE15;A
1EE16;A
1EE17;A
1EE18;A
1EE19;A
1EE1A;A
1EE1B;A
1EE1C;A
1EE1D;A
1EE1E;A
1EE1F;A
1EE21;A
1EE22;A
1EE24;A
1EE27;A
1EE29;A
1EE2A;A
1EE2B;A
1EE2C;A
1EE2D;A
1EE2E;A
1EE2F;A
1EE30;A
1EE31;A
1EE32;A
1EE34;A
1EE35;A
1EE36;A
1EE37;A
1EE39;A
1EE3B;A
1EE42;A
1EE47;A
1EE49;A
1EE4B;A
1EE4D;A
1EE4E;A
1EE4F;A
1EE51;A
1EE52;A
1EE54;A
1EE57;A
1EE59;A
1EE5B;A
1EE5D;A
1EE5F;A
1EE61;A
1EE62;A
1EE64;A
1EE67;A
1EE68;A
1EE69;A
1EE6A;A
1EE6C;A
1EE6D;A
1EE6E;A
1EE6F;A
1EE70;A
1EE71;A
1EE72;A
1EE74;A
1EE75;A
1EE76;A
1EE77;A
1EE79;A
1EE7A;A
1EE7B;A
1EE7C;A
1EE7E;A
1EE80;A
1EE81;A
1EE82;A
1EE83;A
1EE84;A
1EE85;A
1EE86;A
1EE87;A
1EE88;A
1EE89;A
1EE8B;A
1EE8C;A
1EE8D;A
1EE8E;A
1EE8F;A
1EE90;A
1EE91;A
1EE92;A
1EE93;A
1EE94;A
1EE95;A
1EE96;A
1EE97;A
1EE98;A
1EE99;A
1EE9A;A
1EE9B;A
1EEA1;A
1EEA2;A
1EEA3;A
1EEA5;A
1EEA6;A
1EEA7;A
1EEA8;A
1EEA9;A
1EEAB;A
1EEAC;A
1EEAD;A
1EEAE;A
1EEAF;A
1EEB0;A
1EEB1;A
1EEB2;A
1EEB3;A
1EEB4;A
1EEB5;A
1EEB6;A
1EEB7;A
1EEB8;A
1EEB9;A
1EEBA;A
1EEBB;A
1EEF0;L
1EEF1;L
1F784;N
1F78C;N
1F78D;N
1F797;N
1F798;N
1F799;N
1F79D;N
1F79E;N
1F79F;N

# EOF
